DRUGBANK_ID	NAMESPACE	ID	SOURCE
DB00123	CHEBI	18019	chebi
DB00123	CHEBI	18019	drugbank
DB00123	CHEBML	CHEMBL8085	drugbank
DB00125	CHEBI	16467	chebi
DB00125	CHEBI	16467	drugbank
DB00125	CHEBML	CHEMBL1485	drugbank
DB00126	CHEBI	29073	chebi
DB00126	CHEBI	29073	drugbank
DB00126	CHEBML	CHEMBL196	drugbank
DB00127	CHEBI	15746	chebi
DB00127	CHEBI	15746	drugbank
DB00127	CHEBML	CHEMBL23194	drugbank
DB00128	CHEBI	17053	chebi
DB00128	CHEBI	17053	drugbank
DB00128	CHEBML	CHEMBL274323	drugbank
DB00129	CHEBI	15729	chebi
DB00129	CHEBI	15729	drugbank
DB00129	CHEBML	CHEMBL446143	drugbank
DB00130	CHEBI	18050	chebi
DB00130	CHEBI	58359	drugbank
DB00130	CHEBML	CHEMBL930	drugbank
DB00131	CHEBI	16027	chebi
DB00131	CHEBI	16027	drugbank
DB00131	CHEBML	CHEMBL752	drugbank
DB00132	CHEBI	27432	chebi
DB00132	CHEBI	27432	drugbank
DB00132	CHEBML	CHEMBL8739	drugbank
DB00133	CHEBI	17115	chebi
DB00133	CHEBI	33384	drugbank
DB00133	CHEBML	CHEMBL11298	drugbank
DB00134	CHEBI	16643	chebi
DB00134	CHEBI	16643	drugbank
DB00134	CHEBML	CHEMBL42336	drugbank
DB00135	CHEBI	17895	chebi
DB00135	CHEBI	58315	drugbank
DB00135	CHEBML	CHEMBL925	drugbank
DB00136	CHEBI	17823	chebi
DB00136	CHEBI	17823	drugbank
DB00136	CHEBML	CHEMBL846	drugbank
DB00137	CHEBI	27325	chebi
DB00137	CHEBI	28838	chebi
DB00137	CHEBI	28838	drugbank
DB00137	CHEBML	CHEMBL173929	drugbank
DB00138	CHEBI	16283	chebi
DB00138	CHEBI	16283	drugbank
DB00138	CHEBML	CHEMBL590540	drugbank
DB00139	CHEBI	15741	chebi
DB00139	CHEBI	15741	drugbank
DB00139	CHEBML	CHEMBL576	drugbank
DB00140	CHEBI	17015	chebi
DB00140	CHEBI	17015	drugbank
DB00140	CHEBML	CHEMBL1534	drugbank
DB00141	CHEBI	17411	chebi
DB00141	CHEBI	17411	drugbank
DB00141	CHEBI	506227	chebi
DB00141	CHEBML	CHEMBL447878	drugbank
DB00142	CHEBI	16015	chebi
DB00142	CHEBI	16015	drugbank
DB00142	CHEBML	CHEMBL575060	drugbank
DB00143	CHEBI	16856	chebi
DB00143	CHEBI	16856	drugbank
DB00143	CHEBML	CHEMBL1543	drugbank
DB00144	CHEBI	18303	chebi
DB00144	CHEBI	18303	drugbank
DB00145	CHEBI	15428	chebi
DB00145	CHEBI	15428	drugbank
DB00145	CHEBML	CHEMBL773	drugbank
DB00146	CHEBI	17933	chebi
DB00146	CHEBI	17933	drugbank
DB00146	CHEBML	CHEMBL1040	drugbank
DB00147	CHEBI	17310	chebi
DB00147	CHEBI	17310	drugbank
DB00147	CHEBML	CHEMBL102970	drugbank
DB00148	CHEBI	16919	chebi
DB00148	CHEBI	16919	drugbank
DB00148	CHEBML	CHEMBL283800	drugbank
DB00149	CHEBI	15603	chebi
DB00149	CHEBI	57427	drugbank
DB00149	CHEBML	CHEMBL291962	drugbank
DB00150	CHEBI	16828	chebi
DB00150	CHEBI	16828	drugbank
DB00150	CHEBML	CHEMBL54976	drugbank
DB00151	CHEBI	17561	chebi
DB00151	CHEBI	17561	drugbank
DB00151	CHEBI	91247	chebi
DB00151	CHEBI	91248	chebi
DB00151	CHEBML	CHEMBL863	drugbank
DB00152	CHEBI	18385	chebi
DB00152	CHEBI	18385	drugbank
DB00152	CHEBML	CHEMBL1547	drugbank
DB00153	CHEBI	28934	chebi
DB00153	CHEBI	28934	drugbank
DB00153	CHEBML	CHEMBL1536	drugbank
DB00154	CHEBI	53486	chebi
DB00154	CHEBI	53486	drugbank
DB00154	CHEBML	CHEMBL465183	drugbank
DB00155	CHEBI	16349	chebi
DB00155	CHEBI	16349	drugbank
DB00155	CHEBML	CHEMBL444814	drugbank
DB00156	CHEBI	16857	chebi
DB00156	CHEBI	16857	drugbank
DB00156	CHEBML	CHEMBL291747	drugbank
DB00157	CHEBI	16908	chebi
DB00157	CHEBI	16908	drugbank
DB00158	CHEBI	27470	chebi
DB00158	CHEBI	27470	drugbank
DB00158	CHEBML	CHEMBL1622	drugbank
DB00159	CHEBI	28364	chebi
DB00159	CHEBI	28364	drugbank
DB00159	CHEBML	CHEMBL460026	drugbank
DB00160	CHEBI	16977	chebi
DB00160	CHEBI	16977	drugbank
DB00160	CHEBML	CHEMBL279597	drugbank
DB00161	CHEBI	16414	chebi
DB00161	CHEBI	16414	drugbank
DB00161	CHEBML	CHEMBL43068	drugbank
DB00162	CHEBI	17336	chebi
DB00162	CHEBI	17336	drugbank
DB00162	CHEBML	CHEMBL986	drugbank
DB00163	CHEBI	18145	chebi
DB00163	CHEBI	18145	drugbank
DB00163	CHEBI	46430	chebi
DB00163	CHEBML	CHEMBL47	drugbank
DB00165	CHEBI	16709	chebi
DB00165	CHEBI	16709	drugbank
DB00165	CHEBML	CHEMBL1364	drugbank
DB00166	CHEBI	16494	chebi
DB00166	CHEBI	30314	drugbank
DB00166	CHEBML	CHEMBL134342	drugbank
DB00167	CHEBI	17191	chebi
DB00167	CHEBI	58045	drugbank
DB00167	CHEBML	CHEMBL1233584	drugbank
DB00168	CHEBI	2877	chebi
DB00168	CHEBI	2877	drugbank
DB00168	CHEBML	CHEMBL171679	drugbank
DB00169	CHEBI	28940	chebi
DB00169	CHEBI	28940	drugbank
DB00169	CHEBML	CHEMBL1042	drugbank
DB00170	CHEBI	28869	chebi
DB00170	CHEBI	28869	drugbank
DB00170	CHEBML	CHEMBL590	drugbank
DB00171	CHEBI	15422	chebi
DB00171	CHEBI	15422	drugbank
DB00171	CHEBI	50732	chebi
DB00171	CHEBML	CHEMBL14249	drugbank
DB00172	CHEBI	17203	chebi
DB00172	CHEBI	17203	drugbank
DB00172	CHEBML	CHEMBL54922	drugbank
DB00173	CHEBI	16708	chebi
DB00173	CHEBI	16708	drugbank
DB00173	CHEBML	CHEMBL226345	drugbank
DB00174	CHEBI	17196	chebi
DB00174	CHEBI	58048	drugbank
DB00174	CHEBML	CHEMBL58832	drugbank
DB00175	CHEBI	63618	chebi
DB00175	CHEBI	63618	drugbank
DB00175	CHEBI	8361	chebi
DB00175	CHEBML	CHEMBL1144	drugbank
DB00176	CHEBI	5138	chebi
DB00176	CHEBI	5138	drugbank
DB00176	CHEBML	CHEMBL814	drugbank
DB00177	CHEBI	9927	chebi
DB00177	CHEBI	9927	drugbank
DB00177	CHEBML	CHEMBL1069	drugbank
DB00178	CHEBI	8774	chebi
DB00178	CHEBI	8774	drugbank
DB00178	CHEBML	CHEMBL1168	drugbank
DB00179	CHEBI	73468	chebi
DB00179	CHEBI	73468	drugbank
DB00179	CHEBML	CHEMBL313972	drugbank
DB00180	CHEBI	5106	chebi
DB00180	CHEBI	5106	drugbank
DB00180	CHEBML	CHEMBL1512	drugbank
DB00181	CHEBI	2972	chebi
DB00181	CHEBI	2972	drugbank
DB00181	CHEBML	CHEMBL701	drugbank
DB00182	CHEBI	132233	drugbank
DB00182	CHEBI	2679	chebi
DB00182	CHEBI	51063	chebi
DB00182	CHEBML	CHEMBL405	drugbank
DB00183	CHEBI	31974	drugbank
DB00183	CHEBML	CHEMBL1328	drugbank
DB00184	CHEBI	17688	chebi
DB00184	CHEBI	17688	drugbank
DB00184	CHEBI	18723	chebi
DB00184	CHEBML	CHEMBL3	drugbank
DB00185	CHEBI	3568	chebi
DB00185	CHEBI	3568	drugbank
DB00186	CHEBI	52993	chebi
DB00186	CHEBI	6539	drugbank
DB00186	CHEBML	CHEMBL580	drugbank
DB00187	CHEBI	4856	chebi
DB00187	CHEBI	4857	chebi
DB00187	CHEBI	88206	drugbank
DB00187	CHEBML	CHEMBL768	drugbank
DB00188	CHEBI	52717	chebi
DB00188	CHEBI	52717	drugbank
DB00188	CHEBML	CHEMBL325041	drugbank
DB00189	CHEBI	4882	chebi
DB00189	CHEBI	4882	drugbank
DB00189	CHEBML	CHEMBL591	drugbank
DB00190	CHEBI	3395	chebi
DB00190	CHEBI	39585	chebi
DB00190	CHEBI	39585	drugbank
DB00190	CHEBML	CHEMBL1201236	drugbank
DB00191	CHEBI	50506	chebi
DB00191	CHEBI	8080	chebi
DB00191	CHEBI	8080	drugbank
DB00191	CHEBML	CHEMBL1574	drugbank
DB00192	CHEBI	135314	drugbank
DB00192	CHEBML	CHEMBL1201242	drugbank
DB00193	CHEBI	32250	chebi
DB00193	CHEBI	75725	drugbank
DB00193	CHEBI	9648	chebi
DB00193	CHEBML	CHEMBL1066	drugbank
DB00194	CHEBI	45327	chebi
DB00194	CHEBI	45327	drugbank
DB00194	CHEBML	CHEMBL1090	drugbank
DB00195	CHEBI	3082	chebi
DB00195	CHEBI	3082	drugbank
DB00195	CHEBI	59254	chebi
DB00195	CHEBI	59255	chebi
DB00195	CHEBI	59256	chebi
DB00195	CHEBI	643228	chebi
DB00195	CHEBML	CHEMBL423	drugbank
DB00196	CHEBI	46081	chebi
DB00196	CHEBI	46081	drugbank
DB00196	CHEBML	CHEMBL106	drugbank
DB00197	CHEBI	9753	chebi
DB00197	CHEBI	9753	drugbank
DB00197	CHEBML	CHEMBL408	drugbank
DB00198	CHEBI	7798	chebi
DB00198	CHEBI	7798	drugbank
DB00198	CHEBI	7799	chebi
DB00198	CHEBML	CHEMBL1229	drugbank
DB00199	CHEBI	42355	chebi
DB00199	CHEBI	42355	drugbank
DB00199	CHEBI	48923	chebi
DB00199	CHEBML	CHEMBL532	drugbank
DB00200	CHEBI	27786	chebi
DB00200	CHEBI	27786	drugbank
DB00200	CHEBML	CHEMBL2103737	drugbank
DB00201	CHEBI	27732	chebi
DB00201	CHEBI	27732	drugbank
DB00201	CHEBI	31332	chebi
DB00201	CHEBML	CHEMBL113	drugbank
DB00202	CHEBI	45652	chebi
DB00202	CHEBI	45652	drugbank
DB00202	CHEBI	61219	chebi
DB00202	CHEBML	CHEMBL703	drugbank
DB00203	CHEBI	9139	chebi
DB00203	CHEBI	9139	drugbank
DB00203	CHEBML	CHEMBL192	drugbank
DB00204	CHEBI	4681	chebi
DB00204	CHEBI	4681	drugbank
DB00204	CHEBML	CHEMBL473	drugbank
DB00205	CHEBI	8673	chebi
DB00205	CHEBI	8673	drugbank
DB00205	CHEBML	CHEMBL36	drugbank
DB00206	CHEBI	28487	chebi
DB00206	CHEBI	28487	drugbank
DB00206	CHEBML	CHEMBL772	drugbank
DB00207	CHEBI	2955	chebi
DB00207	CHEBI	2955	drugbank
DB00207	CHEBI	34546	chebi
DB00207	CHEBML	CHEMBL529	drugbank
DB00208	CHEBI	9588	chebi
DB00208	CHEBI	9588	drugbank
DB00208	CHEBI	9589	chebi
DB00208	CHEBML	CHEMBL833	drugbank
DB00209	CHEBI	145791	chebi
DB00209	CHEBI	145791	drugbank
DB00209	CHEBML	CHEMBL1888176	drugbank
DB00210	CHEBI	31174	chebi
DB00210	CHEBI	31174	drugbank
DB00210	CHEBML	CHEMBL1265	drugbank
DB00211	CHEBI	31847	chebi
DB00211	CHEBI	6933	chebi
DB00211	CHEBI	6933	drugbank
DB00211	CHEBML	CHEMBL1201212	drugbank
DB00212	CHEBML	CHEMBL31601	drugbank
DB00213	CHEBI	50270	chebi
DB00213	CHEBI	7915	chebi
DB00213	CHEBI	7915	drugbank
DB00213	CHEBML	CHEMBL1502	drugbank
DB00214	CHEBI	9637	chebi
DB00214	CHEBI	9637	drugbank
DB00214	CHEBML	CHEMBL1148	drugbank
DB00215	CHEBI	3723	chebi
DB00215	CHEBI	77397	drugbank
DB00215	CHEBML	CHEMBL549	drugbank
DB00216	CHEBI	50922	chebi
DB00216	CHEBI	50922	drugbank
DB00216	CHEBI	61176	chebi
DB00216	CHEBML	CHEMBL1510	drugbank
DB00217	CHEBI	3079	chebi
DB00217	CHEBI	37937	chebi
DB00217	CHEBI	37937	drugbank
DB00217	CHEBML	CHEMBL1201260	drugbank
DB00218	CHEBI	63611	chebi
DB00218	CHEBI	63611	drugbank
DB00218	CHEBI	7008	chebi
DB00218	CHEBML	CHEMBL32	drugbank
DB00219	CHEBI	94329	drugbank
DB00219	CHEBML	CHEMBL1201286	drugbank
DB00220	CHEBI	7496	chebi
DB00220	CHEBI	7496	drugbank
DB00220	CHEBI	7497	chebi
DB00220	CHEBML	CHEMBL584	drugbank
DB00221	CHEBI	6005	drugbank
DB00221	CHEBML	CHEMBL1201213	drugbank
DB00222	CHEBI	5383	chebi
DB00222	CHEBI	5383	drugbank
DB00222	CHEBML	CHEMBL1481	drugbank
DB00223	CHEBI	31483	chebi
DB00223	CHEBI	59750	chebi
DB00223	CHEBI	59750	drugbank
DB00223	CHEBML	CHEMBL1201380	drugbank
DB00224	CHEBI	44032	chebi
DB00224	CHEBI	44032	drugbank
DB00224	CHEBML	CHEMBL115	drugbank
DB00225	CHEBI	31642	chebi
DB00225	CHEBI	37333	chebi
DB00225	CHEBI	37333	drugbank
DB00226	CHEBI	5555	chebi
DB00226	CHEBI	5555	drugbank
DB00226	CHEBML	CHEMBL1037	drugbank
DB00227	CHEBI	40303	chebi
DB00227	CHEBI	40303	drugbank
DB00227	CHEBML	CHEMBL503	drugbank
DB00228	CHEBI	4792	chebi
DB00228	CHEBI	4792	drugbank
DB00228	CHEBML	CHEMBL1257	drugbank
DB00229	CHEBI	31374	chebi
DB00229	CHEBI	355510	chebi
DB00229	CHEBI	355510	drugbank
DB00229	CHEBML	CHEMBL1296	drugbank
DB00230	CHEBI	64356	chebi
DB00230	CHEBI	64356	drugbank
DB00230	CHEBML	CHEMBL1059	drugbank
DB00231	CHEBI	9435	drugbank
DB00231	CHEBML	CHEMBL967	drugbank
DB00232	CHEBI	6847	drugbank
DB00232	CHEBML	CHEMBL1577	drugbank
DB00233	CHEBI	27565	chebi
DB00233	CHEBI	27565	drugbank
DB00233	CHEBML	CHEMBL1169	drugbank
DB00234	CHEBI	135342	drugbank
DB00234	CHEBML	CHEMBL383921	drugbank
DB00235	CHEBI	34850	chebi
DB00235	CHEBI	50693	chebi
DB00235	CHEBI	50693	drugbank
DB00235	CHEBML	CHEMBL189	drugbank
DB00236	CHEBI	8242	chebi
DB00236	CHEBI	8242	drugbank
DB00236	CHEBML	CHEMBL1585	drugbank
DB00237	CHEBI	3228	chebi
DB00237	CHEBI	3228	drugbank
DB00237	CHEBML	CHEMBL449	drugbank
DB00238	CHEBI	63613	chebi
DB00238	CHEBI	63613	drugbank
DB00238	CHEBML	CHEMBL57	drugbank
DB00239	CHEBI	7825	chebi
DB00239	CHEBI	7825	drugbank
DB00239	CHEBI	7826	chebi
DB00239	CHEBML	CHEMBL1262	drugbank
DB00240	CHEBI	31184	chebi
DB00240	CHEBI	53776	chebi
DB00240	CHEBI	53776	drugbank
DB00240	CHEBML	CHEMBL1201361	drugbank
DB00241	CHEBI	102524	chebi
DB00241	CHEBI	102524	drugbank
DB00241	CHEBML	CHEMBL454	drugbank
DB00242	CHEBI	567361	chebi
DB00242	CHEBI	567361	drugbank
DB00242	CHEBML	CHEMBL1619	drugbank
DB00243	CHEBI	87681	chebi
DB00243	CHEBI	87690	drugbank
DB00243	CHEBML	CHEMBL1404	drugbank
DB00244	CHEBI	6775	chebi
DB00244	CHEBI	6775	drugbank
DB00244	CHEBML	CHEMBL704	drugbank
DB00245	CHEBI	3048	chebi
DB00245	CHEBI	3048	drugbank
DB00245	CHEBI	3049	chebi
DB00245	CHEBML	CHEMBL1201203	drugbank
DB00246	CHEBI	10119	chebi
DB00246	CHEBI	10119	drugbank
DB00246	CHEBI	32314	chebi
DB00246	CHEBI	53757	chebi
DB00246	CHEBML	CHEMBL708	drugbank
DB00247	CHEBI	584020	chebi
DB00247	CHEBI	584020	drugbank
DB00247	CHEBML	CHEMBL485253	drugbank
DB00248	CHEBI	3286	chebi
DB00248	CHEBI	3286	drugbank
DB00248	CHEBML	CHEMBL1201087	drugbank
DB00249	CHEBI	147675	drugbank
DB00249	CHEBML	CHEMBL788	drugbank
DB00250	CHEBI	4325	chebi
DB00250	CHEBI	4325	drugbank
DB00250	CHEBML	CHEMBL1043	drugbank
DB00251	CHEBI	82980	drugbank
DB00251	CHEBI	9451	chebi
DB00251	CHEBML	CHEMBL1306	drugbank
DB00252	CHEBI	8107	chebi
DB00252	CHEBI	8107	drugbank
DB00252	CHEBML	CHEMBL16	drugbank
DB00253	CHEBI	34829	drugbank
DB00253	CHEBML	CHEMBL1201173	drugbank
DB00254	CHEBI	34730	chebi
DB00254	CHEBI	50845	chebi
DB00254	CHEBI	50845	drugbank
DB00254	CHEBI	60648	chebi
DB00254	CHEBML	CHEMBL1433	drugbank
DB00255	CHEBI	41922	chebi
DB00255	CHEBI	41922	drugbank
DB00255	CHEBML	CHEMBL411	drugbank
DB00256	CHEBI	59040	chebi
DB00256	CHEBI	59040	drugbank
DB00256	CHEBML	CHEMBL2103929	drugbank
DB00257	CHEBI	3764	chebi
DB00257	CHEBI	3764	drugbank
DB00257	CHEBML	CHEMBL104	drugbank
DB00258	CHEBI	3310	chebi
DB00258	CHEBI	3310	drugbank
DB00258	CHEBI	59199	chebi
DB00258	CHEBML	CHEMBL1200800	drugbank
DB00259	CHEBI	45373	chebi
DB00259	CHEBI	45373	drugbank
DB00259	CHEBML	CHEMBL21	drugbank
DB00260	CHEBI	27792	chebi
DB00260	CHEBI	40009	chebi
DB00260	CHEBI	40009	drugbank
DB00260	CHEBI	75592	chebi
DB00260	CHEBML	CHEMBL771	drugbank
DB00261	CHEBI	142290	chebi
DB00261	CHEBI	142290	drugbank
DB00261	CHEBI	55345	chebi
DB00261	CHEBML	CHEMBL760	drugbank
DB00262	CHEBI	3423	chebi
DB00262	CHEBI	3423	drugbank
DB00262	CHEBML	CHEMBL513	drugbank
DB00263	CHEBI	102484	chebi
DB00263	CHEBI	102484	drugbank
DB00263	CHEBML	CHEMBL453	drugbank
DB00264	CHEBI	6904	chebi
DB00264	CHEBI	6904	drugbank
DB00264	CHEBML	CHEMBL13	drugbank
DB00265	CHEBI	31439	chebi
DB00265	CHEBML	CHEMBL1200709	drugbank
DB00266	CHEBI	4513	chebi
DB00266	CHEBI	4513	drugbank
DB00266	CHEBML	CHEMBL1466	drugbank
DB00267	CHEBI	55490	chebi
DB00267	CHEBI	55490	drugbank
DB00267	CHEBML	CHEMBL1201224	drugbank
DB00268	CHEBI	8888	chebi
DB00268	CHEBI	8888	drugbank
DB00268	CHEBML	CHEMBL589	drugbank
DB00269	CHEBI	3641	chebi
DB00269	CHEBI	3641	drugbank
DB00269	CHEBML	CHEMBL1200761	drugbank
DB00270	CHEBI	6073	drugbank
DB00270	CHEBML	CHEMBL1648	drugbank
DB00271	CHEBI	31812	chebi
DB00271	CHEBI	53691	chebi
DB00271	CHEBI	53691	drugbank
DB00271	CHEBI	53692	chebi
DB00271	CHEBI	59733	chebi
DB00271	CHEBML	CHEMBL1201220	drugbank
DB00272	CHEBI	59170	chebi
DB00272	CHEBI	59170	drugbank
DB00272	CHEBML	CHEMBL1201323	drugbank
DB00273	CHEBI	63631	chebi
DB00273	CHEBI	63631	drugbank
DB00273	CHEBML	CHEMBL220492	drugbank
DB00274	CHEBI	3489	chebi
DB00274	CHEBI	3489	drugbank
DB00274	CHEBML	CHEMBL1201195	drugbank
DB00275	CHEBI	48416	chebi
DB00275	CHEBI	48416	drugbank
DB00275	CHEBML	CHEMBL1516	drugbank
DB00276	CHEBI	2687	chebi
DB00276	CHEBI	2687	drugbank
DB00276	CHEBML	CHEMBL43	drugbank
DB00277	CHEBI	28177	chebi
DB00277	CHEBI	28177	drugbank
DB00277	CHEBML	CHEMBL190	drugbank
DB00278	CHEBI	94385	drugbank
DB00278	CHEBML	CHEMBL1166	drugbank
DB00279	CHEBI	18258	chebi
DB00279	CHEBI	18258	drugbank
DB00279	CHEBML	CHEMBL1544	drugbank
DB00280	CHEBI	4657	chebi
DB00280	CHEBI	4657	drugbank
DB00280	CHEBML	CHEMBL517	drugbank
DB00281	CHEBI	50512	chebi
DB00281	CHEBI	60791	chebi
DB00281	CHEBI	6456	chebi
DB00281	CHEBI	6456	drugbank
DB00281	CHEBML	CHEMBL79	drugbank
DB00282	CHEBI	7903	drugbank
DB00282	CHEBML	CHEMBL834	drugbank
DB00283	CHEBI	3738	chebi
DB00283	CHEBI	3738	drugbank
DB00283	CHEBI	3739	chebi
DB00283	CHEBML	CHEMBL1626	drugbank
DB00284	CHEBI	2376	chebi
DB00284	CHEBI	2376	drugbank
DB00284	CHEBML	CHEMBL1566	drugbank
DB00285	CHEBI	9943	chebi
DB00285	CHEBI	9943	drugbank
DB00285	CHEBI	9944	chebi
DB00285	CHEBML	CHEMBL637	drugbank
DB00286	CHEBI	8389	chebi
DB00286	CHEBI	8389	drugbank
