chembl_id,pref_name,chebi_id
CHEMBL6900,CROTAFURAN A,
CHEMBL422,TRIFLUOPERAZINE,45951
CHEMBL26,SULPIRIDE,32168
CHEMBL6885,"QUINAZOLINE-2,4,6-TRIAMINE",
CHEMBL423,BETAXOLOL,3082
CHEMBL424,SALICYLIC ACID,16914
CHEMBL267742,CROTAFURAN B,
CHEMBL425,OLSALAZINE,
CHEMBL27,PROPRANOLOL,8499
CHEMBL267373,BENZAMIDE,28179
CHEMBL6995,PRACTOLOL,258351
CHEMBL6665,,70031
CHEMBL266540,QUINAZOLINONE,
CHEMBL7348,THERALIN,
CHEMBL427,MECHLORETHAMINE,28925
CHEMBL7193,ACYCLOVIR DIPHOSPHATE,
CHEMBL7187,COSTATOLIDE,65553
CHEMBL7121,(+)-CALANOLIDE B,
CHEMBL7002,CIGLITAZONE,64227
CHEMBL6893,FR-79620,
CHEMBL268207,(-)-CALANOLIDE A,
CHEMBL267447,(+)-CALANOLIDE A,65552
CHEMBL28,APIGENIN,18388
CHEMBL6694,,27479
CHEMBL29,BENZYLPENICILLIN,18208
CHEMBL428,TROVAFLOXACIN,9763
CHEMBL30,CIMETIDINE,3699
CHEMBL7162,NS-398,73458
CHEMBL428650,ENDOTHALL,
CHEMBL31,GATIFLOXACIN,5280
CHEMBL263086,CALANOLIDE C,
CHEMBL7724,AG1295,
CHEMBL269277,BETULINIC ACID,3087
CHEMBL429,LABETALOL,6343
CHEMBL32,MOXIFLOXACIN,63611
CHEMBL33,LEVOFLOXACIN,63598
CHEMBL7467,FLESTOLOL,
CHEMBL430,GEMIFLOXACIN,101853
CHEMBL7264,ATEVIRDINE SULPHATE,
CHEMBL7265,DQ-113,
CHEMBL7492,PIRITREXIM,
CHEMBL267179,N-FORMYLMETHIONYL-LEUCYLPHENYLALANINE,53490
CHEMBL431,SPIRAPRIL,
CHEMBL432,,33569
CHEMBL433,VALPROATE SODIUM,9925
CHEMBL434,ISOPROTERENOL,64317
CHEMBL266591,,31085
CHEMBL266497,SORBINIL,102029
CHEMBL435,HYDROCHLOROTHIAZIDE,5778
CHEMBL35,FUROSEMIDE,47426
CHEMBL404519,BEVIRIMAT,65484
CHEMBL7480,ALCONIL,
CHEMBL7634,OXOTREMORINE,7851
CHEMBL36,PYRIMETHAMINE,8673
CHEMBL436,TOLRESTAT,48549
CHEMBL437,SULFATHIAZOLE,9337
CHEMBL7679,PONALRESTAT,
CHEMBL438,SULFAMERAZINE,102130
CHEMBL439,SULFADIAZINE,9328
CHEMBL440,THIAMYLAL,9536
CHEMBL7225,GENTAMICIN A,
CHEMBL441,THIOPENTAL,102166
CHEMBL268164,CYCLOBARBITAL,
CHEMBL267436,HYGROMYCIN A,69414
CHEMBL442,ERGOTAMINE,64318
CHEMBL7701,WHI-259,
CHEMBL266090,WHI-260,
CHEMBL8165,5-METHOXYTRYPTAMINE,2089
CHEMBL38,TRETINOIN,15367
CHEMBL7796,9-OXIRANYL-ACRIDINE,
CHEMBL39,SEROTONIN,28790
CHEMBL7413,METHOHEXITAL,102216
CHEMBL40,PHENOBARBITAL,8069
CHEMBL41,FLUOXETINE,86990
CHEMBL7476,WHI-261,
CHEMBL7257,5-MEO-DMT,2086
CHEMBL268585,WHI-262,
CHEMBL266487,RO-316233,
CHEMBL267014,L-745870,
CHEMBL443,SULFAMETHOXAZOLE,9332
CHEMBL7463,GF-109203,
CHEMBL444,BARBITAL,31252
CHEMBL42,CLOZAPINE,3766
CHEMBL445,NORTRIPTYLINE,7640
CHEMBL446,SULFAMETHAZINE,102265
CHEMBL7660,PHENIDONE,
CHEMBL447,SECOBARBITAL,9073
CHEMBL448,PENTOBARBITAL,7983
CHEMBL7568,QUINACRINE,8711
CHEMBL7927,FAUC 113,
CHEMBL267894,AMOBARBITAL,2673
CHEMBL7728,HEXOBARBITAL,5706
CHEMBL415300,ISOCLOZAPINE,
CHEMBL449,BUTABARBITAL,3228
CHEMBL7863,APROBARBITAL,2791
CHEMBL450,METHARBITAL,
CHEMBL267719,ALLOBARBITAL,
CHEMBL267242,9-BENZYL-9H-PURINE,
CHEMBL451,CHLORDIAZEPOXIDE,3611
CHEMBL266349,MELAGATRAN,43966
CHEMBL266094,9-BENZYL-9H-ADENINE,
CHEMBL452,CLONAZEPAM,3756
CHEMBL7424,,84149
CHEMBL7309,,84246
CHEMBL453,SULFISOXAZOLE,102484
CHEMBL7446,9-BENZYL-6-METHOXY-9H-PURINE,
CHEMBL269319,,34157
CHEMBL7514,,63966
CHEMBL268869,SULFAMETHOXYPYRIDAZINE,102516
CHEMBL454,BUTALBITAL,102524
CHEMBL455,SULFACETAMIDE,63845
CHEMBL7723,9-BENZYL-6-METHYLSULFANYL-9H-PURINE,
CHEMBL43,AMSACRINE,2687
CHEMBL7797,INDACRINONE,
CHEMBL429405,SARCOLYSIN,82339
CHEMBL456,ETHACRYNIC ACID,4876
CHEMBL44,GENISTEIN,28088
CHEMBL7777,,66958
CHEMBL7976,CHALCONE,48965
CHEMBL7642,RWJ-58259,
CHEMBL7549,PRECLAMOL,
CHEMBL7550,L-158809,
CHEMBL7610,RWJ-54003,
CHEMBL7747,4-HYDROXYCHALCONE,34423
CHEMBL276473,4'-HYDROXYCHALCONE,34360
CHEMBL268868,DAPH,53110
CHEMBL8179,WIN-57294,
CHEMBL7828,ISOLOXAPINE,
CHEMBL7939,CGP-53353,
CHEMBL429023,ROTENONE,28201
CHEMBL267744,TICRYNAFEN,9590
CHEMBL267976,FPL-55712 SODIUM SALT,
CHEMBL268368,STAUROSPORINE AGLYCON,
CHEMBL7917,TYRPHOSTIN AG-1478,75404
CHEMBL7941,ISOROTENONE,
CHEMBL7942,MALONIC ACID,30794
CHEMBL268834,ACETYLROTENOLENE,
CHEMBL7915,O-CARBETHOXY ROTENONE OXIME,
CHEMBL7940,DEHYDROROTENONE,
CHEMBL7643,SULOFENUR,
CHEMBL7829,LY-181984,
CHEMBL457,GEMFIBROZIL,5296
CHEMBL45,MELATONIN,16796
CHEMBL8085,LYSINE,18019
CHEMBL8087,,59111
CHEMBL7889,L-NIL,63971
CHEMBL7890,L-NAME,7549
CHEMBL269306,CDDO-CN,
CHEMBL266510,FLINDOKALNER,
CHEMBL8347,,34548
CHEMBL8327,DEMETHYL-CANTHARIDIN,
CHEMBL8184,CARTAZOLATE,
CHEMBL46,ONDANSETRON,7773
CHEMBL275516,CANTHARIDIC_ACID,
CHEMBL273968,,103210
CHEMBL266282,AL-43,
CHEMBL269137,HAPALOSIN,
CHEMBL415306,,16488
CHEMBL8020,,34337
CHEMBL8145,DAIDZEIN,28197
CHEMBL7855,"CHRYSENE-1,2-DIOL",
CHEMBL47,VITAMIN E,18145
CHEMBL7983,PROPYL GALLATE,10607
CHEMBL8148,TIENOXOLOL,
CHEMBL8234,ENKEPHALIN,89656
CHEMBL8030,TOLIMIDONE,
CHEMBL8600,DOM,
CHEMBL8412,IPSAPIRONE,
CHEMBL49,BUSPIRONE,3223
CHEMBL266243,ONO-3708,
CHEMBL8040,8-AMINOGUANINE,
CHEMBL8443,NITIDINE CHLORIDE,
CHEMBL8260,BAICALEIN,2979
CHEMBL50,QUERCETIN,16243
CHEMBL274642,BW-755C,
CHEMBL51,KETANSERIN,6123
CHEMBL8273,SULOTROBAN,
CHEMBL459,METHYLDOPA,61058
CHEMBL8290,CLAVULANIC ACID (SODIUM),
CHEMBL8320,BENZOQUINONE,16509
CHEMBL52,NORDIHYDROGUAIARETIC ACID,7625
CHEMBL460,MOLINDONE,6965
CHEMBL276727,IODOACETAMIDE,
CHEMBL53,APOMORPHINE,48538
CHEMBL430145,MOTUPORIN,
CHEMBL444092,MICROCYSTIN-LR,6925
CHEMBL54,HALOPERIDOL,5613
CHEMBL8211,N-ETHYLMALEIMIDE,44485
CHEMBL8486,MDL-28170,75016
CHEMBL8425,NAFAZATROM,
CHEMBL461,HIPPURIC ACID,18089
CHEMBL55,PENTAMIDINE,45081
CHEMBL274877,,68552
CHEMBL462,4-CHLOROHIPPURIC ACID,
CHEMBL8747,REV-5901,
CHEMBL8760,,103989
CHEMBL8771,NEOPLANOCIN A,
CHEMBL274119,RACEMETHIONINE,16811
CHEMBL463,AMINOHIPPURIC ACID,104011
CHEMBL8597,ASCOMYCIN,29582
CHEMBL8853,,71167
CHEMBL275748,TULIPALINE A,104120
CHEMBL8494,L-696418,
CHEMBL8839,LY-389795,
CHEMBL56,8-OH-DPAT,73364
CHEMBL275006,GYKI-52466,79560
CHEMBL8618,NAN-190,64131
CHEMBL464,ETRETINATE,4913
CHEMBL262697,CYANO-PYRROLIDINE,
CHEMBL8483,,44534
CHEMBL8463,,84459
CHEMBL267450,GYKI-53655,
CHEMBL8514,BUTACLAMOL,
CHEMBL274413,NAPHMETHONIUM,
CHEMBL268871,L-697661,
CHEMBL57,NEVIRAPINE,63613
CHEMBL275079,LY-379268,
CHEMBL8659,OLEIC ACID,16196
CHEMBL8739,LINOLENIC ACID,27432
CHEMBL8706,CLORGILINE,3763
CHEMBL267476,LINOLEIC ACID,17351
CHEMBL267475,FPL-55712,
CHEMBL8846,PRIFELONE,
CHEMBL8759,EGLUMETAD,
CHEMBL267276,TQX-173,
CHEMBL465,DRONABINOL,66964
CHEMBL58,MITOXANTRONE,50729
CHEMBL8690,FR-236924,
CHEMBL8933,L-764004,
CHEMBL59,DOPAMINE,18243
CHEMBL8770,,104585
CHEMBL267930,SPIPERONE,9233
CHEMBL267473,DAZOXIBEN,
CHEMBL8663,,50217
CHEMBL267044,LEVOSULPIRIDE,64119
CHEMBL8809,RACLOPRIDE,
CHEMBL8946,ETICLOPRIDE,
CHEMBL8475,IOLOPRIDE,
CHEMBL267723,IOLOPRIDE,
CHEMBL267932,MESPIPERONE,
CHEMBL467,HYDROXYUREA,44423
CHEMBL267227,DELTA 8-TETRAHYDROCANNOBINOL,
CHEMBL8823,SB-209670,
CHEMBL61,PODOFILOX,50305
CHEMBL62,SCH-23390,
CHEMBL8965,ROSARAMICIN,87084
CHEMBL63,ROLIPRAM,104872
CHEMBL418520,CARBOMYCIN B,
CHEMBL425633,RF-1461,
CHEMBL8978,L-754142,
CHEMBL9298,FADROZOLE,
CHEMBL64,ISONIAZID,6030
CHEMBL9020,N-PHENYL-PHTHALIMIDE,
CHEMBL403516,ACETYLSHIKONIN,
CHEMBL468,THALIDOMIDE,74947
CHEMBL269362,DISOPIRAMIDE,
CHEMBL8821,(S)-DISOPYRAMIDE,
CHEMBL469,KETOROLAC,76223
CHEMBL65,CAMPTOTHECIN,27656
CHEMBL9416,ISOBUTYLSHIKONIN,81070
CHEMBL9337,RU-58841,
CHEMBL9352,NARINGENIN,17846
CHEMBL8981,PD-156707,
CHEMBL9464,ANASTATIN B,
CHEMBL9194,ATRASENTAN,
CHEMBL470,P-HYDROXY KETOROLAC,
CHEMBL9167,ANASTATIN A,
CHEMBL8996,ERIODICTYOL,28412
CHEMBL9323,DIHYDROKAEMPFEROL,15401
CHEMBL267024,DIMETHYLACRYLSHIKONIN,81071
CHEMBL66,(+)-TAXIFOLIN,17948
CHEMBL9249,(+)-EPITAXIFOLIN,32330
CHEMBL9470,SHIKONIN,81068
CHEMBL9306,LITHIUM CLAVULANATE,
CHEMBL274826,ANDROSTENEDIONE,16422
CHEMBL67,COMBRETASTATIN A4,
CHEMBL9387,L-365260,79548
CHEMBL428479,ANIROLAC,
CHEMBL276625,PHENSTATIN,
CHEMBL268291,DIMETHYLFORMAMIDE,17741
CHEMBL269755,3-AMINOPHENOL,28924
CHEMBL9116,CARACEMIDE,
CHEMBL9324,TETRYLAMMONIUM,44296
CHEMBL471,SOTALOL,63622
CHEMBL9506,DEVAZEPIDE,4460
CHEMBL9419,METACETAMOL,76987
CHEMBL9653,,35042
CHEMBL9514,NOCODAZOLE,34892
CHEMBL472,GLYBURIDE,5441
CHEMBL9484,CLOFILIUM,34649
CHEMBL9225,MESO-HEXESTROL,
CHEMBL473,DOFETILIDE,4681
CHEMBL9623,MANNOSTATIN A,
CHEMBL417975,SEZOLAMIDE,
CHEMBL275528,PHENCYCLIDINE,8058
CHEMBL9240,,7438
CHEMBL266160,FORMAMIDE,16397
CHEMBL268254,DELORAZEPAM,
CHEMBL9734,,48983
CHEMBL475,N-DESETHYL DORZOLAMIDE,
CHEMBL476,DACARBAZINE,
CHEMBL477,ADENOSINE,16335
CHEMBL9440,METESIND,
CHEMBL276821,RO-223294,
CHEMBL478,CHLOROPHENYLPIPERAZINE,10588
CHEMBL9434,PHENYLPIPERAZINE,
CHEMBL269521,MK-212,
CHEMBL479,THIORIDAZINE,9566
CHEMBL480,LANSOPRAZOLE,6375
CHEMBL481,IRINOTECAN,80630
CHEMBL70,MORPHINE,17303
CHEMBL274161,8-OXOYVERRUCARIN A,
CHEMBL483,TENOFOVIR,63625
CHEMBL269666,RORIDIN D,
CHEMBL9712,BACHHARIN B2,
CHEMBL9412,BACHHARIN B1,
CHEMBL9757,ALPHA-8-HYDROXYVERRUCARIN A,
CHEMBL9780,BETA-8-HYDROXYVERRUCARIN A,
CHEMBL273896,"ALPHA-9,10-EPOXYVERRUCARIN A",
CHEMBL428354,BACCHARIN,
CHEMBL417976,"9BETA,10BETA-EPOXYRORIDIN A",
CHEMBL484,ADEFOVIR,
CHEMBL413214,BACHHARIN B3,
CHEMBL276822,BACHHARIN B4,
CHEMBL269170,VERRUCARIN A ACETATE,
CHEMBL9599,SC-55634,
CHEMBL485,CODEINE,16714
CHEMBL274866,,83536
CHEMBL274525,ABT-418,
CHEMBL9355,"9BETA,10BETA-EPOXYVERRUCARIN A",
CHEMBL71,CHLORPROMAZINE,3647
CHEMBL9714,SC-51895,
CHEMBL9642,SC-52892,
CHEMBL264213,,37
CHEMBL9732,R-NICOTINE,39162
CHEMBL72,DESIPRAMINE,47781
CHEMBL274318,FLAVANONE,5070
CHEMBL486,4'-HYDROXYTAMOXIFEN,
CHEMBL487,DROLOXIFENE,34731
CHEMBL488,AMINOGLUTETHIMIDE,2654
CHEMBL10041,AFIMOXIFENE,
CHEMBL489,AFIMOXIFENE,44616
CHEMBL264214,DISUPRAZOLE,
CHEMBL74,CROMOLYN SODIUM,128458
CHEMBL75,,48336
CHEMBL9861,TIMOPRAZOLE,
CHEMBL76,CHLOROQUINE,3638
CHEMBL10347,RAUWOLSCINE,48562
CHEMBL490,PAROXETINE,7936
CHEMBL77,ARTEMISIN,
CHEMBL10332,,73287
CHEMBL416146,ETORICOXIB,6339
CHEMBL10085,MAZAPERTINE,
CHEMBL9946,CP-154526,
CHEMBL79,LIDOCAINE,6456
CHEMBL10118,FAMOXADONE,106738
CHEMBL10188,TALNETANT,
CHEMBL9967,PIRENZEPINE,8247
CHEMBL10316,IDAZOXAN,5862
CHEMBL491,HYDROXYFLUTAMIDE,
CHEMBL276462,CEPHALOTAXINE,3540
CHEMBL10247,THIORPHAN,9568
CHEMBL9960,AZD-7624,
CHEMBL10272,BENZETIMIDE,
CHEMBL415967,CGS-314447,
CHEMBL492,ETIDOCAINE,4904
CHEMBL10030,LY-117018,90187
CHEMBL80,NALOXONE,7459
CHEMBL81,RALOXIFENE,8772
CHEMBL269671,,223316
CHEMBL83,TAMOXIFEN,41774
CHEMBL428175,RWJ-25730,
CHEMBL493,BROMOCRIPTINE,3181
CHEMBL10284,SB-222200,
CHEMBL10017,TERTIARY ALCOHOL PRIMARY SUCCINATEESTER,
CHEMBL273264,NAFAMOSTAT,
CHEMBL274070,9-AMINOCAMPTOTHECIN,80755
CHEMBL269455,IMIRESTAT,
CHEMBL10445,CLOXACEPRIDE,
CHEMBL273862,HYDROXYCAMPTOTHECIN,81395
CHEMBL10413,ZENARESTAT,
CHEMBL429950,,73630
CHEMBL494,ILOPROST,63916
CHEMBL84,TOPOTECAN,63632
CHEMBL10372,ZOPOLRESTAT,
CHEMBL273910,MINALRESTAT,
CHEMBL268697,HEMICHOLINIUM-3,
CHEMBL11157,L-374087,
CHEMBL10850,,17813
CHEMBL85,RISPERIDONE,8871
CHEMBL10758,AZEPINDOLE,
CHEMBL428880,CROMOLYN,59773
CHEMBL417979,,73635
CHEMBL86,METOCLOPRAMIDE,107736
CHEMBL87,,23359
CHEMBL10634,BERMOPROFEN,
CHEMBL274383,PD-155080,
CHEMBL268477,AP-227,
CHEMBL11133,ISOAMINOPTERIN,
CHEMBL428647,PACLITAXEL,45863
CHEMBL495,ALPROSTADIL,15544
CHEMBL10971,SCH-37370,
CHEMBL275330,PORPHYRIN,
CHEMBL496,HEXACHLOROPHENE,5693
CHEMBL497,CLIOQUINOL,74460
CHEMBL10878,AGOMELATINE,
CHEMBL11301,DESFERRITHIOCIN,
CHEMBL88,CYCLOPHOSPHAMIDE,4027
CHEMBL498,CHLORPROPAMIDE,3650
CHEMBL499,TIMOLOL,9599
CHEMBL500,PINDOLOL,8214
CHEMBL273977,SODIUM CYCLAMATE,82431
CHEMBL11417,STREPTONIGRIN,9287
CHEMBL11252,STALLIMYCIN,
CHEMBL267099,TUBERCIDIN,48267
CHEMBL11471,L-NIO,
CHEMBL11250,SABADININE,
CHEMBL11268,ICI-89406,
CHEMBL275084,ISOBUTYLMETHYLXANTHINE,34795
CHEMBL276832,HYDRALAZINE,5775
CHEMBL274185,LECIMIBIDE,
CHEMBL11672,ROQUINIMEX,
CHEMBL268272,3-DEAZAARISTEROMYCIN A,
CHEMBL501,AMPHETAMINE SULFATE,
CHEMBL267345,AMPHOTERICIN B,2682
CHEMBL274440,AP-7,
CHEMBL11470,,74763
CHEMBL274056,NAPHTHAZALIN,28849
CHEMBL90,HISTAMINE,18295
CHEMBL91,MICONAZOLE,82892
CHEMBL11594,BMS-191095,
CHEMBL416887,,34866
CHEMBL11684,(-)-CROMAKALIM,
CHEMBL275739,MOPIDRALAZINE,
CHEMBL11608,TYRAMINE,15760
CHEMBL92,DOCETAXEL,4672
CHEMBL273273,5-OH-DPAT,
CHEMBL273124,PENCLOMEDINE,
CHEMBL93,ZILEUTON,10112
CHEMBL11257,,27266
CHEMBL94,PHYSOSTIGMINE,27953
CHEMBL275097,TETRAHYDROBERBERINE,22998
CHEMBL274323,ASPARTIC ACID,17053
CHEMBL95,TACRINE,45980
CHEMBL11848,DIHYDROBERBERINE,
CHEMBL502,DONEPEZIL,53289
CHEMBL11722,HOMOSERINE,15699
CHEMBL11488,,73169
CHEMBL12198,ALANINE,16449
CHEMBL11298,SERINE,17115
CHEMBL12089,BERBERINE CHLORIDE,31271
CHEMBL274189,PALMATINE CHLORIDE,
CHEMBL274346,JATRORRHIZINE CHLORIDE,
CHEMBL11805,CAPROCTAMINE,
CHEMBL503,LOVASTATIN,40303
CHEMBL12213,KETOTREXATE,
CHEMBL11531,OXYBERBERINE,
CHEMBL11662,OZAGREL,
CHEMBL11811,ONO-1581,
CHEMBL12098,SCH-211803,
CHEMBL12014,HARMAN,5623
CHEMBL12315,ISOQUINOLINE,16092
CHEMBL275224,NORHARMANE,109895
CHEMBL267770,TIBEGLISENE,
CHEMBL12610,BENZYDAMINE,
CHEMBL11706,BMS-248360,
CHEMBL11978,NICOTINYL METHYLAMIDE,64399
CHEMBL269644,ACETANILIDE,28884
CHEMBL276218,CAPROLACTAM,28579
CHEMBL268493,NICOTINALDEHYDE,28345
CHEMBL12367,,5637
CHEMBL12420,"N,N-DIMETHYLTRYPTAMINE",28969
CHEMBL416526,BUFOTENINE,3210
CHEMBL274794,2-PYRIDINECARBOXALDEHYDE,73012
CHEMBL504,DIMETHYL SULFOXIDE,28262
CHEMBL11860,ETHYLENE THIOUREA,34750
CHEMBL12196,,36591
CHEMBL12062,RWJ-69736,
CHEMBL12034,,37001
CHEMBL11949,,84278
CHEMBL11544,,87321
CHEMBL275742,DEXPROPRANOLOL,8736
CHEMBL274420,CV-6209,
CHEMBL11873,,84254
CHEMBL12131,CLOSANTEL,77054
CHEMBL12193,,77761
CHEMBL12543,METHYLPYRROLIDONE,7307
CHEMBL276849,2-PYRROLIDONE,36592
CHEMBL12806,GLICONDAMIDE,
CHEMBL275758,RILMAKALIM,
CHEMBL12603,RWJ-68157,
CHEMBL275469,RWJ-38063,
CHEMBL505,CHLORPHENIRAMINE,52010
CHEMBL12531,CLAMIKALANT,
CHEMBL268229,,73337
CHEMBL12620,2-METHYLHISTAMINE,74761
CHEMBL506,PRIMAQUINE,8405
CHEMBL273386,"2,4-DINITROPHENOL",42017
CHEMBL12552,BIMAKALIM,
CHEMBL275443,4-METHYLHISTAMINE,74760
CHEMBL12318,CLODRONIC ACID,110423
CHEMBL12261,METHYL PALMOXIRATE,
CHEMBL12158,VUF-8406,
CHEMBL12160,BURIMAMIDE,3221
CHEMBL507,N-METHYLHISTAMINE,29009
CHEMBL12394,PALMOXIRATE,
CHEMBL275803,SOPROMIDINE,
CHEMBL276618,4-METHYLDAPHNETIN,
CHEMBL12344,DIMAPRIT,81389
CHEMBL509,MECLOFENAMIC ACID,6710
CHEMBL428495,,32918
CHEMBL12252,"5,7-DIHYDROXY-4-METHYLCOUMARIN",
CHEMBL12208,HYMECROMONE,17224
CHEMBL12019,,17763
CHEMBL12636,HYMECROMONE METHYL ETHER,
CHEMBL12594,E-5110,
CHEMBL12608,IMPROMIDINE,
CHEMBL269646,TIOTIDINE,
CHEMBL273942,JEFFAMINE,
CHEMBL276443,ETILAMFETAMINE,
CHEMBL216830,[Val5] - ANGIOTENSIN II,48434
CHEMBL12245,VUF-8413,
CHEMBL275446,METIAMIDE,6896
CHEMBL511,PYRILAMINE,6762
CHEMBL512,,8776
CHEMBL13073,VUF-8407,
CHEMBL268282,,51666
CHEMBL276850,PHENOXAZINE,
CHEMBL267777,RITANSERIN,64195
CHEMBL12713,SERTINDOLE,9122
CHEMBL513,CARMUSTINE,3423
CHEMBL12264,SB-258719,
CHEMBL12948,SEMUSTINE,6863
CHEMBL514,LOMUSTINE,6520
CHEMBL96,GAMMA-AMINOBUTYRIC ACID,16865
CHEMBL12259,UCM-5600,
CHEMBL12624,SB-258741,
CHEMBL12314,MESULERGINE,73378
CHEMBL275707,RIMCAZOLE,
CHEMBL12514,SCOPADULCIC ACID B,
CHEMBL440593,CI-930,
CHEMBL515,CHLORAMBUCIL,28830
CHEMBL516,CYPROHEPTADINE,4046
CHEMBL12587,MUSCARINE,7034
CHEMBL12850,DEHYDROABIETIC ACID,29571
CHEMBL12856,INAMRINONE,
CHEMBL12798,METHYL DEHYDROABIETATE,
CHEMBL12799,POMIFERIN A,52486
CHEMBL13260,YM-90K,
CHEMBL517,DISOPYRAMIDE,4657
CHEMBL12571,HYDROXYGUANIDINE SULPHATE,
CHEMBL417799,SANGUINARIUM,17183
CHEMBL518,CHLORPHENACYL,
CHEMBL13045,CHELERYTHRINE,78373
CHEMBL273453,ALDOSTERONE,27584
CHEMBL13134,PALINAVIR,
CHEMBL12831,IMAZODAN,
CHEMBL275311,,75261
CHEMBL412873,SPARTEINE,
CHEMBL275938,AURINTRICARBOXYLIC ACID,87397
CHEMBL98,VORINOSTAT,45716
CHEMBL274445,TRAPOXIN A,
CHEMBL12720,,49837
CHEMBL12980,QUINUCLIDINYL BENZILATE,
CHEMBL520,XANTHENE CARBOXYLIC ACID,
CHEMBL267571,,80008
CHEMBL267548,PROTOPORPHYRIN,
CHEMBL13095,RO-054520,
CHEMBL267648,PEFLOXACIN,50199
CHEMBL99,TRICHOSTATIN,46024
CHEMBL276177,DISOBUTAMIDE,
CHEMBL273676,,16645
