mirbase_id	mirbase_name	database	identifier	label
MI0000028	cel-mir-57	WORMBASE	T09A5/18697-18599	
MI0000029	cel-mir-58a	WORMBASE	Y67D8A/16188-16284	
MI0000030	cel-mir-59	WORMBASE	B0035/14964-14865	
MI0000031	cel-mir-60	WORMBASE	C32D5/16788-16691	
MI0000032	cel-mir-61	WORMBASE	F55A11/6731-6635	
MI0000033	cel-mir-62	WORMBASE	T07C5/11823-11894	
MI0000034	cel-mir-63	WORMBASE	C16H3/369-266	
MI0000035	cel-mir-64	WORMBASE	Y48G9A/92980-93089	
MI0000036	cel-mir-65	WORMBASE	Y48G9A/93134-93233	
MI0000037	cel-mir-66	WORMBASE	Y48G9A/93240-93338	
MI0000038	cel-mir-67	WORMBASE	EGAP1/4494-4396	
MI0000041	cel-mir-70	WORMBASE	T10H9/32413-32314	
MI0000042	cel-mir-71	WORMBASE	F16A11/5547-5454	
MI0000043	cel-mir-72	WORMBASE	F53G2/2401-2495	
MI0000044	cel-mir-73	WORMBASE	T24D8/30624-30722	
MI0000045	cel-mir-74	WORMBASE	T24D8/30902-30998	
MI0000046	cel-mir-75	WORMBASE	T24D8/34313-34409	
MI0000047	cel-mir-76	WORMBASE	C44B11/10451-10547	
MI0000048	cel-mir-77	WORMBASE	T21B4/29149-29248	
MI0000049	cel-mir-78	WORMBASE	Y40H7A/25290-25385	
MI0000050	cel-mir-79	WORMBASE	C12C8/13303-13400	
MI0000051	cel-mir-80	WORMBASE	K01F9/1056-959	
MI0000052	cel-mir-81	WORMBASE	T07D1/14195-14302	
MI0000053	cel-mir-82	WORMBASE	T07D1/18477-18381	
MI0000054	cel-mir-83	WORMBASE	C06A6/16005-16102	
MI0000055	cel-mir-84	WORMBASE	B0395/3359-3285	
MI0000056	cel-mir-85	WORMBASE	F49E12/16076-16181	
MI0000057	cel-mir-86	WORMBASE	Y56A3A/102935-102838	
MI0000058	cel-mir-87	WORMBASE	F10C2/16068-15975	
MI0000059	cel-mir-90	WORMBASE	K01F9/9773-9676	
MI0000060	hsa-let-7a-1	RFAM	RF00027	let-7
MI0000060	hsa-let-7a-1	TARGETS:PICTAR-VERT	hsa-let-7a	hsa-let-7a
MI0000060	hsa-let-7a-1	HGNC	31476	MIRLET7A1
MI0000060	hsa-let-7a-1	ENTREZGENE	406881	MIRLET7A1
MI0000061	hsa-let-7a-2	RFAM	RF00027	let-7
MI0000061	hsa-let-7a-2	TARGETS:PICTAR-VERT	hsa-let-7a	hsa-let-7a
MI0000061	hsa-let-7a-2	HGNC	31477	MIRLET7A2
MI0000061	hsa-let-7a-2	ENTREZGENE	406882	MIRLET7A2
MI0000062	hsa-let-7a-3	RFAM	RF00027	let-7
MI0000062	hsa-let-7a-3	TARGETS:PICTAR-VERT	hsa-let-7a	hsa-let-7a
MI0000062	hsa-let-7a-3	HGNC	31478	MIRLET7A3
MI0000062	hsa-let-7a-3	ENTREZGENE	406883	MIRLET7A3
MI0000063	hsa-let-7b	RFAM	RF00027	let-7
MI0000063	hsa-let-7b	TARGETS:PICTAR-VERT	hsa-let-7b	hsa-let-7b
MI0000063	hsa-let-7b	HGNC	31479	MIRLET7B
MI0000063	hsa-let-7b	ENTREZGENE	406884	MIRLET7B
MI0000064	hsa-let-7c	RFAM	RF00027	let-7
MI0000064	hsa-let-7c	TARGETS:PICTAR-VERT	hsa-let-7c	hsa-let-7c
MI0000064	hsa-let-7c	HGNC	31480	MIRLET7C
MI0000064	hsa-let-7c	ENTREZGENE	406885	MIRLET7C
MI0000065	hsa-let-7d	RFAM	RF00027	let-7
MI0000065	hsa-let-7d	TARGETS:PICTAR-VERT	hsa-let-7d	hsa-let-7d
MI0000065	hsa-let-7d	HGNC	31481	MIRLET7D
MI0000065	hsa-let-7d	ENTREZGENE	406886	MIRLET7D
MI0000066	hsa-let-7e	RFAM	RF00027	let-7
MI0000066	hsa-let-7e	TARGETS:PICTAR-VERT	hsa-let-7e	hsa-let-7e
MI0000066	hsa-let-7e	HGNC	31482	MIRLET7E
MI0000066	hsa-let-7e	ENTREZGENE	406887	MIRLET7E
MI0000067	hsa-let-7f-1	RFAM	RF00027	let-7
MI0000067	hsa-let-7f-1	TARGETS:PICTAR-VERT	hsa-let-7f	hsa-let-7f
MI0000067	hsa-let-7f-1	HGNC	31483	MIRLET7F1
MI0000067	hsa-let-7f-1	ENTREZGENE	406888	MIRLET7F1
MI0000068	hsa-let-7f-2	RFAM	RF00027	let-7
MI0000068	hsa-let-7f-2	TARGETS:PICTAR-VERT	hsa-let-7f	hsa-let-7f
MI0000068	hsa-let-7f-2	HGNC	31484	MIRLET7F2
MI0000068	hsa-let-7f-2	ENTREZGENE	406889	MIRLET7F2
MI0000069	hsa-mir-15a	TARGETS:PICTAR-VERT	hsa-miR-15a	hsa-miR-15a
MI0000069	hsa-mir-15a	HGNC	31543	MIR15A
MI0000069	hsa-mir-15a	ENTREZGENE	406948	MIR15A
MI0000070	hsa-mir-16-1	TARGETS:PICTAR-VERT	hsa-miR-16	hsa-miR-16
MI0000070	hsa-mir-16-1	HGNC	31545	MIR16-1
MI0000070	hsa-mir-16-1	ENTREZGENE	406950	MIR16-1
MI0000071	hsa-mir-17	RFAM	RF00051	mir-17
MI0000071	hsa-mir-17	TARGETS:PICTAR-VERT	hsa-miR-17-3p	hsa-miR-17-3p
MI0000071	hsa-mir-17	TARGETS:PICTAR-VERT	hsa-miR-17-5p	hsa-miR-17-5p
MI0000071	hsa-mir-17	HGNC	31547	MIR17
MI0000071	hsa-mir-17	ENTREZGENE	406952	MIR17
MI0000072	hsa-mir-18a	HGNC	31548	MIR18A
MI0000072	hsa-mir-18a	ENTREZGENE	406953	MIR18A
MI0000073	hsa-mir-19a	TARGETS:PICTAR-VERT	hsa-miR-19a	hsa-miR-19a
MI0000073	hsa-mir-19a	HGNC	31574	MIR19A
MI0000073	hsa-mir-19a	ENTREZGENE	406979	MIR19A
MI0000074	hsa-mir-19b-1	TARGETS:PICTAR-VERT	hsa-miR-19b	hsa-miR-19b
MI0000074	hsa-mir-19b-1	HGNC	31575	MIR19B1
MI0000074	hsa-mir-19b-1	ENTREZGENE	406980	MIR19B1
MI0000075	hsa-mir-19b-2	TARGETS:PICTAR-VERT	hsa-miR-19b	hsa-miR-19b
MI0000075	hsa-mir-19b-2	HGNC	31576	MIR19B2
MI0000075	hsa-mir-19b-2	ENTREZGENE	406981	MIR19B2
MI0000076	hsa-mir-20a	HGNC	31577	MIR20A
MI0000076	hsa-mir-20a	ENTREZGENE	406982	MIR20A
MI0000077	hsa-mir-21	TARGETS:PICTAR-VERT	hsa-miR-21	hsa-miR-21
MI0000077	hsa-mir-21	HGNC	31586	MIR21
MI0000077	hsa-mir-21	ENTREZGENE	406991	MIR21
MI0000078	hsa-mir-22	TARGETS:PICTAR-VERT	hsa-miR-22	hsa-miR-22
MI0000078	hsa-mir-22	HGNC	31599	MIR22
MI0000078	hsa-mir-22	ENTREZGENE	407004	MIR22
MI0000079	hsa-mir-23a	TARGETS:PICTAR-VERT	hsa-miR-23a	hsa-miR-23a
MI0000079	hsa-mir-23a	HGNC	31605	MIR23A
MI0000079	hsa-mir-23a	ENTREZGENE	407010	MIR23A
MI0000080	hsa-mir-24-1	TARGETS:PICTAR-VERT	hsa-miR-189	hsa-miR-189
MI0000080	hsa-mir-24-1	TARGETS:PICTAR-VERT	hsa-miR-24	hsa-miR-24
MI0000080	hsa-mir-24-1	HGNC	31607	MIR24-1
MI0000080	hsa-mir-24-1	ENTREZGENE	407012	MIR24-1
MI0000081	hsa-mir-24-2	TARGETS:PICTAR-VERT	hsa-miR-24	hsa-miR-24
MI0000081	hsa-mir-24-2	HGNC	31608	MIR24-2
MI0000081	hsa-mir-24-2	ENTREZGENE	407013	MIR24-2
MI0000082	hsa-mir-25	TARGETS:PICTAR-VERT	hsa-miR-25	hsa-miR-25
MI0000082	hsa-mir-25	HGNC	31609	MIR25
MI0000082	hsa-mir-25	ENTREZGENE	407014	MIR25
MI0000083	hsa-mir-26a-1	TARGETS:PICTAR-VERT	hsa-miR-26a	hsa-miR-26a
MI0000083	hsa-mir-26a-1	HGNC	31610	MIR26A1
MI0000083	hsa-mir-26a-1	ENTREZGENE	407015	MIR26A1
MI0000084	hsa-mir-26b	TARGETS:PICTAR-VERT	hsa-miR-26b	hsa-miR-26b
MI0000084	hsa-mir-26b	HGNC	31612	MIR26B
MI0000084	hsa-mir-26b	ENTREZGENE	407017	MIR26B
MI0000085	hsa-mir-27a	TARGETS:PICTAR-VERT	hsa-miR-27a	hsa-miR-27a
MI0000085	hsa-mir-27a	HGNC	31613	MIR27A
MI0000085	hsa-mir-27a	ENTREZGENE	407018	MIR27A
MI0000086	hsa-mir-28	TARGETS:PICTAR-VERT	hsa-miR-28	hsa-miR-28
MI0000086	hsa-mir-28	HGNC	31615	MIR28
MI0000086	hsa-mir-28	ENTREZGENE	407020	MIR28
MI0000087	hsa-mir-29a	RFAM	RF00074	mir-29
MI0000087	hsa-mir-29a	TARGETS:PICTAR-VERT	hsa-miR-29a	hsa-miR-29a
MI0000087	hsa-mir-29a	HGNC	31616	MIR29A
MI0000087	hsa-mir-29a	ENTREZGENE	407021	MIR29A
MI0000088	hsa-mir-30a	TARGETS:PICTAR-VERT	hsa-miR-30a-3p	hsa-miR-30a-3p
MI0000088	hsa-mir-30a	TARGETS:PICTAR-VERT	hsa-miR-30a-5p	hsa-miR-30a-5p
MI0000088	hsa-mir-30a	HGNC	31624	MIR30A
MI0000088	hsa-mir-30a	ENTREZGENE	407029	MIR30A
MI0000089	hsa-mir-31	TARGETS:PICTAR-VERT	hsa-miR-31	hsa-miR-31
MI0000089	hsa-mir-31	HGNC	31630	MIR31
MI0000089	hsa-mir-31	ENTREZGENE	407035	MIR31
MI0000090	hsa-mir-32	TARGETS:PICTAR-VERT	hsa-miR-32	hsa-miR-32
MI0000090	hsa-mir-32	HGNC	31631	MIR32
MI0000090	hsa-mir-32	ENTREZGENE	407036	MIR32
MI0000091	hsa-mir-33a	TARGETS:PICTAR-VERT	hsa-miR-33	hsa-miR-33
MI0000091	hsa-mir-33a	HGNC	31634	MIR33A
MI0000091	hsa-mir-33a	ENTREZGENE	407039	MIR33A
MI0000093	hsa-mir-92a-1	TARGETS:PICTAR-VERT	hsa-miR-92	hsa-miR-92
MI0000093	hsa-mir-92a-1	HGNC	31643	MIR92A1
MI0000093	hsa-mir-92a-1	ENTREZGENE	407048	MIR92A1
MI0000094	hsa-mir-92a-2	TARGETS:PICTAR-VERT	hsa-miR-92	hsa-miR-92
MI0000094	hsa-mir-92a-2	HGNC	31644	MIR92A2
MI0000094	hsa-mir-92a-2	ENTREZGENE	407049	MIR92A2
MI0000095	hsa-mir-93	TARGETS:PICTAR-VERT	hsa-miR-93	hsa-miR-93
MI0000095	hsa-mir-93	HGNC	31645	MIR93
MI0000095	hsa-mir-93	ENTREZGENE	407050	MIR93
MI0000097	hsa-mir-95	TARGETS:PICTAR-VERT	hsa-miR-95	hsa-miR-95
MI0000097	hsa-mir-95	HGNC	31647	MIR95
MI0000097	hsa-mir-95	ENTREZGENE	407052	MIR95
MI0000098	hsa-mir-96	TARGETS:PICTAR-VERT	hsa-miR-96	hsa-miR-96
MI0000098	hsa-mir-96	HGNC	31648	MIR96
MI0000098	hsa-mir-96	ENTREZGENE	407053	MIR96
MI0000100	hsa-mir-98	RFAM	RF00027	let-7
MI0000100	hsa-mir-98	TARGETS:PICTAR-VERT	hsa-miR-98	hsa-miR-98
MI0000100	hsa-mir-98	HGNC	31649	MIR98
MI0000100	hsa-mir-98	ENTREZGENE	407054	MIR98
MI0000101	hsa-mir-99a	RFAM	RF00104	mir-10
MI0000101	hsa-mir-99a	TARGETS:PICTAR-VERT	hsa-miR-99a	hsa-miR-99a
MI0000101	hsa-mir-99a	HGNC	31650	MIR99A
MI0000101	hsa-mir-99a	ENTREZGENE	407055	MIR99A
MI0000102	hsa-mir-100	RFAM	RF00104	mir-10
MI0000102	hsa-mir-100	TARGETS:PICTAR-VERT	hsa-miR-100	hsa-miR-100
MI0000102	hsa-mir-100	HGNC	31487	MIR100
MI0000102	hsa-mir-100	ENTREZGENE	406892	MIR100
MI0000103	hsa-mir-101-1	TARGETS:PICTAR-VERT	hsa-miR-101	hsa-miR-101
MI0000103	hsa-mir-101-1	HGNC	31488	MIR101-1
MI0000103	hsa-mir-101-1	ENTREZGENE	406893	MIR101-1
MI0000105	hsa-mir-29b-1	MIR	MI0000143	mmu-mir-29b-1
MI0000105	hsa-mir-29b-1	RFAM	RF00074	mir-29
MI0000105	hsa-mir-29b-1	TARGETS:PICTAR-VERT	hsa-miR-29b	hsa-miR-29b
MI0000105	hsa-mir-29b-1	HGNC	31619	MIR29B1
MI0000105	hsa-mir-29b-1	ENTREZGENE	407024	MIR29B1
MI0000107	hsa-mir-29b-2	MIR	MI0000712	mmu-mir-29b-2
MI0000107	hsa-mir-29b-2	RFAM	RF00074	mir-29
MI0000107	hsa-mir-29b-2	TARGETS:PICTAR-VERT	hsa-miR-29b	hsa-miR-29b
MI0000107	hsa-mir-29b-2	HGNC	31620	MIR29B2
MI0000107	hsa-mir-29b-2	ENTREZGENE	407025	MIR29B2
MI0000108	hsa-mir-103a-2	TARGETS:PICTAR-VERT	hsa-miR-103	hsa-miR-103
MI0000108	hsa-mir-103a-2	HGNC	31491	MIR103-2
MI0000108	hsa-mir-103a-2	ENTREZGENE	406896	MIR103A2
MI0000109	hsa-mir-103a-1	TARGETS:PICTAR-VERT	hsa-miR-103	hsa-miR-103
MI0000109	hsa-mir-103a-1	HGNC	31490	MIR103-1
MI0000109	hsa-mir-103a-1	ENTREZGENE	406895	MIR103A1
MI0000111	hsa-mir-105-1	TARGETS:PICTAR-VERT	hsa-miR-105	hsa-miR-105
MI0000111	hsa-mir-105-1	HGNC	31492	MIR105-1
MI0000111	hsa-mir-105-1	ENTREZGENE	406897	MIR105-1
MI0000112	hsa-mir-105-2	TARGETS:PICTAR-VERT	hsa-miR-105	hsa-miR-105
MI0000112	hsa-mir-105-2	HGNC	31493	MIR105-2
MI0000112	hsa-mir-105-2	ENTREZGENE	406898	MIR105-2
MI0000113	hsa-mir-106a	MIR	MI0000071	hsa-mir-17
MI0000113	hsa-mir-106a	RFAM	RF00051	mir-17
MI0000113	hsa-mir-106a	TARGETS:PICTAR-VERT	hsa-miR-106a	hsa-miR-106a
MI0000113	hsa-mir-106a	HGNC	31494	MIR106A
MI0000113	hsa-mir-106a	ENTREZGENE	406899	MIR106A
MI0000114	hsa-mir-107	MIR	MI0000108	
MI0000114	hsa-mir-107	TARGETS:PICTAR-VERT	hsa-miR-107	hsa-miR-107
MI0000114	hsa-mir-107	HGNC	31496	MIR107
MI0000114	hsa-mir-107	ENTREZGENE	406901	MIR107
MI0000115	hsa-mir-16-2	TARGETS:PICTAR-VERT	hsa-miR-16	hsa-miR-16
MI0000115	hsa-mir-16-2	HGNC	31546	MIR16-2
MI0000115	hsa-mir-16-2	ENTREZGENE	406951	MIR16-2
MI0000116	dme-mir-1	RFAM	RF00103	mir-1
MI0000116	dme-mir-1	TARGETS:MIRTE	miR-1	miR-1
MI0000116	dme-mir-1	TARGETS:PICTAR-FLY	dme-miR-1	dme-miR-1
MI0000117	dme-mir-2a-1	RFAM	RF00047	mir-2
MI0000117	dme-mir-2a-1	TARGETS:MIRTE	miR-2a	miR-2a
MI0000117	dme-mir-2a-1	TARGETS:PICTAR-FLY	dme-miR-2a	dme-miR-2a
MI0000118	dme-mir-2a-2	RFAM	RF00047	mir-2
MI0000118	dme-mir-2a-2	TARGETS:PICTAR-FLY	dme-miR-2a	dme-miR-2a
MI0000119	dme-mir-2b-1	RFAM	RF00047	mir-2
MI0000119	dme-mir-2b-1	TARGETS:MIRTE	miR-2b	miR-2b
MI0000119	dme-mir-2b-1	TARGETS:PICTAR-FLY	dme-miR-2b	dme-miR-2b
MI0000120	dme-mir-2b-2	RFAM	RF00047	mir-2
MI0000120	dme-mir-2b-2	MIRTE	miR-2b	miR-2b
MI0000120	dme-mir-2b-2	TARGETS:PICTAR-FLY	dme-miR-2b	dme-miR-2b
MI0000121	dme-mir-3	TARGETS:MIRTE	miR-3	miR-3
MI0000121	dme-mir-3	TARGETS:PICTAR-FLY	dme-miR-3	dme-miR-3
MI0000122	dme-mir-4	TARGETS:MIRTE	miR-4	miR-4
MI0000122	dme-mir-4	TARGETS:PICTAR-FLY	dme-miR-4	dme-miR-4
MI0000123	dme-mir-5	TARGETS:MIRTE	miR-5	miR-5
MI0000123	dme-mir-5	TARGETS:PICTAR-FLY	dme-miR-5	dme-miR-5
MI0000124	dme-mir-6-1	TARGETS:MIRTE	miR-6	miR-6
MI0000124	dme-mir-6-1	TARGETS:PICTAR-FLY	dme-miR-6	dme-miR-6
MI0000125	dme-mir-6-2	TARGETS:PICTAR-FLY	dme-miR-6	dme-miR-6
MI0000126	dme-mir-6-3	TARGETS:PICTAR-FLY	dme-miR-6	dme-miR-6
MI0000127	dme-mir-7	RFAM	RF00053	mir-7
MI0000127	dme-mir-7	TARGETS:MIRTE	miR-7	miR-7
MI0000127	dme-mir-7	TARGETS:PICTAR-FLY	dme-miR-7	dme-miR-7
MI0000127	dme-mir-7	ENTREZGENE	3772237	mir-7
MI0000128	dme-mir-8	ENTREZGENE	3771764	mir-8
MI0000129	dme-mir-9a	TARGETS:MIRTE	miR-9a	miR-9a
MI0000129	dme-mir-9a	TARGETS:PICTAR-FLY	dme-miR-9a	dme-miR-9a
MI0000130	dme-mir-10	RFAM	RF00104	mir-10
MI0000130	dme-mir-10	TARGETS:MIRTE	miR-10	miR-10
MI0000130	dme-mir-10	TARGETS:PICTAR-FLY	dme-miR-10	dme-miR-10
MI0000131	dme-mir-11	TARGETS:MIRTE	miR-11	miR-11
MI0000131	dme-mir-11	TARGETS:PICTAR-FLY	dme-miR-11	dme-miR-11
MI0000132	dme-mir-12	TARGETS:MIRTE	miR-12	miR-12
MI0000132	dme-mir-12	TARGETS:PICTAR-FLY	dme-miR-12	dme-miR-12
MI0000133	dme-mir-13a	RFAM	RF00047	mir-2
MI0000133	dme-mir-13a	TARGETS:MIRTE	miR-13a	miR-13a
MI0000133	dme-mir-13a	TARGETS:PICTAR-FLY	dme-miR-13a	dme-miR-13a
MI0000134	dme-mir-13b-1	RFAM	RF00047	mir-2
MI0000134	dme-mir-13b-1	TARGETS:MIRTE	miR-13b	miR-13b
MI0000134	dme-mir-13b-1	TARGETS:PICTAR-FLY	dme-miR-13b	dme-miR-13b
MI0000135	dme-mir-13b-2	RFAM	RF00047	mir-2
MI0000135	dme-mir-13b-2	TARGETS:PICTAR-FLY	dme-miR-13b	dme-miR-13b
MI0000136	dme-mir-14	TARGETS:MIRTE	miR-14	miR-14
MI0000136	dme-mir-14	TARGETS:PICTAR-FLY	dme-miR-14	dme-miR-14
MI0000137	mmu-let-7g	RFAM	RF00027	let-7
MI0000137	mmu-let-7g	MGI	2676800	Mirlet7g
MI0000137	mmu-let-7g	ENTREZGENE	387249	Mirlet7g
MI0000138	mmu-let-7i	RFAM	RF00027	let-7
MI0000138	mmu-let-7i	MGI	2676802	Mirlet7i
MI0000138	mmu-let-7i	ENTREZGENE	387251	Mirlet7i
MI0000139	mmu-mir-1a-1	RFAM	RF00103	mir-1
MI0000139	mmu-mir-1a-1	MGI	2676869	Mir1-1
MI0000139	mmu-mir-1a-1	ENTREZGENE	387136	Mir1a-1
MI0000140	mmu-mir-15b	MGI	2676842	Mir15b
MI0000140	mmu-mir-15b	ENTREZGENE	387175	Mir15b
MI0000141	mmu-mir-23b	MGI	2676898	Mir23b
MI0000141	mmu-mir-23b	ENTREZGENE	387217	Mir23b
MI0000142	mmu-mir-27b	MGI	2676903	Mir27b
MI0000142	mmu-mir-27b	ENTREZGENE	387221	Mir27b
MI0000143	mmu-mir-29b-1	RFAM	RF00074	mir-29
MI0000143	mmu-mir-29b-1	MGI	2676905	Mir29b-1
MI0000143	mmu-mir-29b-1	ENTREZGENE	387223	Mir29b-1
MI0000144	mmu-mir-30a	MGI	2676907	Mir30a
MI0000144	mmu-mir-30a	ENTREZGENE	387225	Mir30a
MI0000145	mmu-mir-30b	MGI	2676908	Mir30b
MI0000145	mmu-mir-30b	ENTREZGENE	387226	Mir30b
MI0000146	mmu-mir-99a	MGI	2676912	Mir99a
MI0000146	mmu-mir-99a	ENTREZGENE	387229	Mir99a
MI0000147	mmu-mir-99b	MGI	2676913	Mir99b
MI0000147	mmu-mir-99b	ENTREZGENE	387230	Mir99b
MI0000148	mmu-mir-101a	MGI	2676803	Mir101a
MI0000148	mmu-mir-101a	ENTREZGENE	387143	Mir101a
MI0000150	mmu-mir-124-3	MGI	3618704	Mirn124a-3
MI0000150	mmu-mir-124-3	ENTREZGENE	723951	Mir124a-3
MI0000151	mmu-mir-125a	MGI	2676809	Mir125a
MI0000151	mmu-mir-125a	ENTREZGENE	387235	Mir125a
MI0000152	mmu-mir-125b-2	RFAM	RF00052	lin-4
MI0000152	mmu-mir-125b-2	MGI	3618706	Mir125b-2
MI0000152	mmu-mir-125b-2	ENTREZGENE	723952	Mir125b-2
MI0000153	mmu-mir-126a	MGI	2676811	Mir126
MI0000153	mmu-mir-126a	ENTREZGENE	387145	Mir126
MI0000154	mmu-mir-127	MGI	2676812	Mir127
MI0000154	mmu-mir-127	ENTREZGENE	387146	Mir127
MI0000155	mmu-mir-128-1	MGI	2676813	Mir128-1
MI0000155	mmu-mir-128-1	ENTREZGENE	387147	Mir128-1
MI0000156	mmu-mir-130a	MGI	2676816	Mir130a
MI0000156	mmu-mir-130a	ENTREZGENE	387149	Mir130a
MI0000157	mmu-mir-9-2	MGI	3619442	Mir9-2
MI0000157	mmu-mir-9-2	ENTREZGENE	723967	Mir9-2
MI0000158	mmu-mir-132	MGI	2676817	Mir132
MI0000158	mmu-mir-132	ENTREZGENE	387150	Mir132
MI0000159	mmu-mir-133a-1	MGI	2676818	Mir133a-1
MI0000159	mmu-mir-133a-1	ENTREZGENE	387151	Mir133a-1
MI0000160	mmu-mir-134	MGI	2676819	Mir134
MI0000160	mmu-mir-134	ENTREZGENE	387152	Mir134
MI0000161	mmu-mir-135a-1	MGI	2676820	Mirn135a-1
MI0000161	mmu-mir-135a-1	ENTREZGENE	387153	Mir135a-1
MI0000162	mmu-mir-136	MGI	2676821	Mir136
MI0000162	mmu-mir-136	ENTREZGENE	387154	Mir136
MI0000163	mmu-mir-137	MGI	2676822	Mir137
MI0000163	mmu-mir-137	ENTREZGENE	387155	Mir137
MI0000164	mmu-mir-138-2	MGI	3618733	Mir138-2
MI0000164	mmu-mir-138-2	ENTREZGENE	723956	Mir138-2
MI0000165	mmu-mir-140	MGI	2676825	Mir140
MI0000165	mmu-mir-140	ENTREZGENE	387158	Mir140
MI0000166	mmu-mir-141	MGI	2676826	Mir141
MI0000166	mmu-mir-141	ENTREZGENE	387159	Mir141
MI0000167	mmu-mir-142a	MGI	2676827	Mir142
MI0000167	mmu-mir-142a	ENTREZGENE	387160	Mir142
MI0000168	mmu-mir-144	MGI	2676829	Mir144
MI0000168	mmu-mir-144	ENTREZGENE	387162	Mir144
MI0000169	mmu-mir-145a	MGI	2676830	Mir145
MI0000169	mmu-mir-145a	ENTREZGENE	387163	Mir145
MI0000170	mmu-mir-146a	MGI	2676831	Mirn146
MI0000170	mmu-mir-146a	ENTREZGENE	387164	Mir146
MI0000171	mmu-mir-149	MGI	2676834	Mir149
MI0000171	mmu-mir-149	ENTREZGENE	387167	Mir149
MI0000172	mmu-mir-150	MGI	2676835	Mir150
MI0000172	mmu-mir-150	ENTREZGENE	387168	Mir150
MI0000173	mmu-mir-151	MGI	2676836	Mir151
MI0000173	mmu-mir-151	ENTREZGENE	387169	Mir151
MI0000174	mmu-mir-152	MGI	2676837	Mir152
MI0000174	mmu-mir-152	ENTREZGENE	387170	Mir152
MI0000175	mmu-mir-153	MGI	2676838	Mir153
MI0000175	mmu-mir-153	ENTREZGENE	387171	Mir153
MI0000176	mmu-mir-154	MGI	2676839	Mir154
MI0000176	mmu-mir-154	ENTREZGENE	387172	Mir154
MI0000177	mmu-mir-155	MGI	2676840	Mir155
MI0000177	mmu-mir-155	ENTREZGENE	387173	Mir155
MI0000178	ath-MIR156a	RFAM	RF00073	mir-156
MI0000178	ath-MIR156a	ASRP	ASRP1423	miR156
MI0000179	ath-MIR156b	RFAM	RF00073	mir-156
MI0000179	ath-MIR156b	ASRP	ASRP1423	miR156
MI0000180	ath-MIR156c	RFAM	RF00073	mir-156
MI0000180	ath-MIR156c	ASRP	ASRP1423	miR156
MI0000181	ath-MIR156d	RFAM	RF00073	mir-156
MI0000181	ath-MIR156d	ASRP	ASRP1423	miR156
MI0000182	ath-MIR156e	RFAM	RF00073	mir-156
MI0000182	ath-MIR156e	ASRP	ASRP1423	miR156
MI0000183	ath-MIR156f	RFAM	RF00073	mir-156
MI0000183	ath-MIR156f	ASRP	ASRP1423	miR156
MI0000184	ath-MIR157a	ASRP	ASRP1424	miR157
MI0000185	ath-MIR157b	ASRP	ASRP1424	miR157
MI0000186	ath-MIR157c	ASRP	ASRP1424	miR157
MI0000188	ath-MIR158a	ASRP	ASRP142	miR158
MI0000189	ath-MIR159a	ASRP	ASRP1425	miR159
MI0000190	ath-MIR160a	ASRP	ASRP1426	miR160
MI0000191	ath-MIR160b	ASRP	ASRP1426	miR160
MI0000192	ath-MIR160c	ASRP	ASRP1426	miR160
MI0000193	ath-MIR161	ASRP	ASRP111	miR161
