SL-0476	GO:0031672
SL-0084	GO:0033114
SL-0085	GO:0033115
SL-0086	GO:0005737
SL-0495	GO:0036464
SL-0325	GO:0060205
SL-0089	GO:0030659
SL-0090	GO:0005856
SL-0091	GO:0005829
SL-0283	GO:0030425
SL-0284	GO:0043197
SL-0285	GO:0032591
SL-0092	GO:0030057
SL-0094	GO:0005769
SL-0337	GO:0031905
SL-0093	GO:0031901
SL-0147	GO:0012505
SL-0095	GO:0005783
SL-0096	GO:0005788
SL-0097	GO:0005789
SL-0098	GO:0005793
SL-0099	GO:0033116
SL-0101	GO:0005768
SL-0327	GO:0031904
SL-0100	GO:0010008
SL-0109	GO:0033117
SL-0328	GO:0034467
SL-0108	GO:0033118
SL-0110	GO:0009513
SL-0329	GO:0034426
SL-0330	GO:0009578
SL-0112	GO:0005615
SL-0286	GO:0030175
SL-0287	GO:0031527
SL-0470	GO:0032433
SL-0113	GO:0009289
SL-0116	GO:0020016
SL-0117	GO:0031514
SL-0118	GO:0005925
SL-0119	GO:0042763
SL-0124	GO:0005921
SL-0125	GO:0031411
SL-0126	GO:0033172
SL-0127	GO:0097504
SL-0129	GO:0020015
SL-0332	GO:0034468
SL-0128	GO:0046860
SL-0131	GO:0009514
SL-0333	GO:0031908
SL-0130	GO:0046861
SL-0132	GO:0005794
SL-0133	GO:0005796
SL-0134	GO:0000139
SL-0135	GO:0005795
SL-0334	GO:0034469
SL-0136	GO:0032580
SL-0288	GO:0030426
SL-0289	GO:0032584
SL-0477	GO:0031673
SL-0137	GO:0030056
SL-0431	GO:0018995
SL-0372	GO:0020002
SL-0428	GO:0044155
SL-0427	GO:0043657
SL-0421	GO:0044230
SL-0373	GO:0020002
SL-0374	GO:0044156
SL-0375	GO:0020002
SL-0376	GO:0020002
SL-0377	GO:0044157
SL-0378	GO:0044228
SL-0424	GO:0044158
SL-0429	GO:0044159
SL-0430	GO:0044160
SL-0381	GO:0030430
SL-0386	GO:0044161
SL-0387	GO:0044162
SL-0383	GO:0044163
SL-0384	GO:0044164
SL-0398	GO:0033645
SL-0388	GO:0044165
SL-0389	GO:0044166
SL-0390	GO:0044167
SL-0391	GO:0044172
SL-0392	GO:0044173
SL-0393	GO:0044174
SL-0394	GO:0044175
SL-0425	GO:0043655
SL-0379	GO:0044176
SL-0395	GO:0044177
SL-0426	GO:0044178
SL-0399	GO:0044184
SL-0400	GO:0044185
SL-0401	GO:0044186
SL-0403	GO:0044187
SL-0404	GO:0044188
SL-0380	GO:0033644
SL-0405	GO:0033648
SL-0406	GO:0033648
SL-0407	GO:0033650
SL-0408	GO:0044190
SL-0409	GO:0044192
SL-0410	GO:0044191
SL-0411	GO:0044193
SL-0453	GO:0072494
SL-0412	GO:0044196
SL-0413	GO:0044095
SL-0414	GO:0042025
SL-0415	GO:0044199
SL-0419	GO:0044201
SL-0416	GO:0044203
SL-0417	GO:0044204
SL-0418	GO:0044200
SL-0446	GO:0044202
SL-0507	GO:0140220
SL-0508	GO:0140222
SL-0509	GO:0140221
SL-0382	GO:0044220
SL-0420	GO:0044229
SL-0385	GO:0044219
SL-0434	GO:0044231
SL-0422	GO:0044168
SL-0423	GO:0044169
SL-0444	GO:0044170
SL-0445	GO:0044171
SL-0435	GO:0044221
SL-0449	GO:0044159
SL-0143	GO:0033166
SL-0145	GO:0042566
SL-0335	GO:0034492
SL-0144	GO:0046859
SL-0478	GO:0031674
SL-0488	GO:0061702
SL-0362	GO:0070258
SL-0146	GO:0033165
SL-0148	GO:0071437
SL-0290	GO:0071438
SL-0149	GO:0000777
SL-0150	GO:0020023
SL-0460	GO:0060091
SL-0291	GO:0030027
SL-0292	GO:0031258
SL-0152	GO:0005770
SL-0336	GO:0031906
SL-0151	GO:0031902
SL-0153	GO:0016328
SL-0154	GO:0005811
SL-0158	GO:0005764
SL-0156	GO:0043202
SL-0157	GO:0005765
SL-0159	GO:0000323
SL-0315	GO:0031430
SL-0510	GO:0110143
SL-0511	GO:0110145
SL-0512	GO:0110146
SL-0161	GO:0042470
SL-0338	GO:0034493
SL-0160	GO:0033162
SL-0162	GO:0016020
SL-0370	GO:0045121
SL-0163	GO:0020009
SL-0339	GO:0034494
SL-0164	GO:0033163
SL-0166	GO:0043231
SL-0165	GO:0031090
SL-0293	GO:0005902
SL-0294	GO:0031528
SL-0469	GO:0030496
SL-0490	GO:0090543
SL-0173	GO:0005739
SL-0167	GO:0005740
SL-0168	GO:0005743
SL-0169	GO:0005758
SL-0170	GO:0005759
SL-0171	GO:0031966
SL-0269	GO:0042645
SL-0172	GO:0005741
SL-0437	GO:0032047
SL-0174	GO:0005771
SL-0175	GO:0032585
SL-0176	GO:0043209
SL-0312	GO:0030016
SL-0177	GO:0042151
SL-0518	GO:0043005
SL-0494	GO:0016604
SL-0185	GO:0005643
SL-0187	GO:0009295
SL-0188	GO:0005730
SL-0497	GO:0001650
SL-0189	GO:0033009
SL-0190	GO:0005654
SL-0191	GO:0005634
SL-0178	GO:0005635
SL-0179	GO:0005637
SL-0184	GO:0005641
SL-0180	GO:0005652
SL-0181	GO:0016363
SL-0182	GO:0031965
SL-0183	GO:0005640
SL-0186	GO:0016607
SL-0351	GO:0070111
SL-0359	GO:0070113
SL-0360	GO:0070115
SL-0352	GO:0070112
SL-0361	GO:0070114
SL-0354	GO:0070116
SL-0355	GO:0070117
SL-0356	GO:0070118
SL-0230	GO:0000932
SL-0192	GO:0033010
SL-0194	GO:0020003
SL-0193	GO:0020005
SL-0195	GO:0043661
SL-0196	GO:0043662
SL-0197	GO:0043204
SL-0198	GO:0048471
SL-0199	GO:0033011
SL-0200	GO:0042597
SL-0201	GO:0055040
SL-0367	GO:0031160
SL-0204	GO:0005777
SL-0202	GO:0005782
SL-0203	GO:0005778
SL-0473	GO:0001891
SL-0206	GO:0045335
SL-0205	GO:0030670
SL-0457	GO:0001917
SL-0458	GO:0001750
SL-0207	GO:0009524
SL-0208	GO:0009506
SL-0209	GO:0009536
SL-0210	GO:0009526
SL-0211	GO:0009528
SL-0212	GO:0009529
SL-0213	GO:0042170
SL-0140	GO:0042646
SL-0214	GO:0009527
SL-0215	GO:0009532
SL-0278	GO:0031976
SL-0309	GO:0031978
SL-0216	GO:0055035
SL-0217	GO:0010287
SL-0465	GO:0016605
SL-0295	GO:0002102
SL-0296	GO:0005886
SL-0371	GO:0070505
SL-0218	GO:0033012
SL-0515	GO:0098794
SL-0219	GO:0045211
SL-0297	GO:0014069
SL-0520	GO:0098839
SL-0220	GO:0000407
SL-0221	GO:0034045
SL-0516	GO:0098793
SL-0519	GO:0048786
SL-0222	GO:0042734
SL-0223	GO:0005770
SL-0343	GO:0031906
SL-0224	GO:0031902
SL-0225	GO:0009530
SL-0226	GO:0009541
SL-0369	GO:0042763
SL-0368	GO:0005628
SL-0228	GO:0000326
SL-0344	GO:0034495
SL-0227	GO:0032586
SL-0229	GO:0005622
SL-0298	GO:0031143
SL-0299	GO:0031260
SL-0232	GO:0055037
SL-0345	GO:0034777
SL-0231	GO:0055038
SL-0233	GO:0020008
SL-0346	GO:0034591
SL-0234	GO:0033016
SL-0235	GO:0005791
SL-0236	GO:0048237
SL-0237	GO:0030867
SL-0300	GO:0001726
SL-0301	GO:0032587
SL-0262	GO:0030115
SL-0238	GO:0042383
SL-0313	GO:0030017
SL-0311	GO:0016528
SL-0239	GO:0016529
SL-0240	GO:0033018
SL-0241	GO:0033017
SL-0242	GO:0009531
SL-0243	GO:0005576
SL-0244	GO:0030133
SL-0245	GO:0030658
SL-0246	GO:0005918
SL-0247	GO:0030114
SL-0248	GO:0005790
SL-0249	GO:0048238
SL-0250	GO:0030868
SL-0251	GO:0005819
SL-0448	GO:0000922
SL-0252	GO:0005816
SL-0366	GO:0031160
SL-0363	GO:0005886
SL-0364	GO:0043595
SL-0365	GO:0043594
SL-0436	GO:0044099
SL-0254	GO:0031160
SL-0302	GO:0032420
SL-0303	GO:0060171
SL-0496	GO:0010494
SL-0255	GO:0005615
SL-0256	GO:0043659
SL-0257	GO:0055044
SL-0258	GO:0045202
SL-0517	GO:0043083
SL-0259	GO:0008021
SL-0348	GO:0034592
SL-0260	GO:0030672
SL-0261	GO:0043005
SL-0505	GO:0030315
SL-0487	GO:0044216
SL-0451	GO:0044218
SL-0276	GO:0000781
SL-0450	GO:0009579
SL-0265	GO:0005923
SL-0266	GO:0005802
SL-0267	GO:0032588
SL-0268	GO:0055039
SL-0141	GO:0001931
SL-0272	GO:0005773
SL-0270	GO:0005775
SL-0271	GO:0005774
SL-0274	GO:0019012
SL-0275	GO:0055036
SL-0273	GO:0019033
SL-0314	GO:0030018
