lspcid	name	members
34	FUMARIC ACID	CAS:110-16-7|CAS:110-17-8|CAS:151-18-8|CAS:2079-89-2|CAS:371-47-1|CHEBI:CHEBI:18012|CHEBI:CHEBI:18300|CHEBI:CHEBI:27413|CHEBI:CHEBI:91084|CHEBI:CHEBI:91263|CHEMBL:CHEMBL1255942|CHEMBL:CHEMBL1315165|CHEMBL:CHEMBL1618272|CHEMBL:CHEMBL3952750|CHEMBL:CHEMBL449139|CHEMBL:CHEMBL503160|CHEMBL:CHEMBL539648|DRUGBANK:DB01677|DRUGBANK:DB04299|HMDB:HMDB0000134|HMDB:HMDB0000176|HMDB:HMDB0004101|MESH:D000629|PUBCHEM:1647|PUBCHEM:444266|PUBCHEM:444972|PUBCHEM:5462653|PUBCHEM:6364608
36	DIHYDROXYACETONE	CAS:367-47-5|CAS:96-26-4|CHEBI:CHEBI:16016|CHEBI:CHEBI:5445|CHEMBL:CHEMBL1229937|CHEMBL:CHEMBL173813|DRUGBANK:DB01775|DRUGBANK:DB02536|HMDB:HMDB0001051|HMDB:HMDB0001882|MESH:D004098|MESH:D005985|PUBCHEM:670|PUBCHEM:751
37	MALONIC ACID	CAS:141-82-2|CAS:141-95-7|CHEBI:CHEBI:30794|CHEBI:CHEBI:62983|CHEMBL:CHEMBL359504|CHEMBL:CHEMBL7942|DRUGBANK:DB02175|HMDB:HMDB0000691|PUBCHEM:867|PUBCHEM:8865
46	PYRIDINE	CAS:110-86-1|CHEBI:CHEBI:16227|CHEMBL:CHEMBL1986645|CHEMBL:CHEMBL2374284|CHEMBL:CHEMBL266158|HMDB:HMDB0000926|PUBCHEM:1049
48	TETROQUINONE	CAS:319-89-1|CHEBI:CHEBI:137472|CHEMBL:CHEMBL1329029|CHEMBL:CHEMBL1559303|PUBCHEM:5424
49	SUCCINIC ACID	CAS:110-15-6|CAS:150-90-3|CHEBI:CHEBI:15741|CHEBI:CHEBI:63675|CHEMBL:CHEMBL1200345|CHEMBL:CHEMBL3707288|CHEMBL:CHEMBL3907604|CHEMBL:CHEMBL576|DRUGBANK:DB00139|DRUGBANK:DB14508|HMDB:HMDB0000254|MESH:D019802|PUBCHEM:1110|PUBCHEM:9020
50	PYRUVATE	CAS:113-24-6|CAS:127-17-3|CHEBI:CHEBI:32816|CHEBI:CHEBI:50144|CHEMBL:CHEMBL1162144|CHEMBL:CHEMBL181886|DRUGBANK:DB00119|HMDB:HMDB0000243|PUBCHEM:1060|PUBCHEM:23662274
52	PENTACHLOROPHENOL	CAS:87-86-5|CHEBI:CHEBI:17642|CHEMBL:CHEMBL3560394|CHEMBL:CHEMBL75967|HMDB:HMDB0041974|MESH:D010416|PUBCHEM:992
55	LACTIC ACID	CAS:10326-41-7|CAS:50-21-5|CAS:72-17-3|CAS:79-33-4|CHEBI:CHEBI:42111|CHEBI:CHEBI:422|CHEBI:CHEBI:75228|CHEBI:CHEBI:78320|CHEMBL:CHEMBL1200559|CHEMBL:CHEMBL1200664|CHEMBL:CHEMBL1200747|CHEMBL:CHEMBL1357|CHEMBL:CHEMBL2106111|CHEMBL:CHEMBL330546|CHEMBL:CHEMBL358850|CHEMBL:CHEMBL3707281|CHEMBL:CHEMBL507018|DRUGBANK:DB03066|DRUGBANK:DB04398|DRUGBANK:DB06768|DRUGBANK:DB09483|DRUGBANK:DB13231|DRUGBANK:DB14475|DRUGBANK:DB14515|HMDB:HMDB0000190|HMDB:HMDB0001311|HMDB:HMDB0144295|MESH:D019354|PUBCHEM:107689|PUBCHEM:23666456|PUBCHEM:612|PUBCHEM:61503
56	ISOBUTYRIC ACID	CAS:79-31-2|CHEBI:CHEBI:16135|CHEMBL:CHEMBL108778|CHEMBL:CHEMBL1762641|DRUGBANK:DB02531|HMDB:HMDB0001873|PUBCHEM:6590
58	Cyclopentane-1,3-Dione	CAS:3859-41-4|CHEBI:CHEBI:41456|CHEMBL:CHEMBL1829794|CHEMBL:CHEMBL224233|PUBCHEM:77466
60	CYSTAMINE	CAS:51-85-4|CHEBI:CHEBI:78757|CHEMBL:CHEMBL1256388|CHEMBL:CHEMBL1594935|CHEMBL:CHEMBL61350|MESH:D003538|PUBCHEM:2915
62	TROMETHAMINE	CAS:23155-02-4|CAS:26016-98-8|CAS:77-86-1|CAS:78964-85-9|CHEBI:CHEBI:28915|CHEBI:CHEBI:5162|CHEBI:CHEBI:79400|CHEBI:CHEBI:9754|CHEMBL:CHEMBL1200331|CHEMBL:CHEMBL1200391|CHEMBL:CHEMBL1256140|CHEMBL:CHEMBL1324201|CHEMBL:CHEMBL1363715|CHEMBL:CHEMBL1387460|CHEMBL:CHEMBL1520976|CHEMBL:CHEMBL1555455|CHEMBL:CHEMBL1616512|CHEMBL:CHEMBL1757|CHEMBL:CHEMBL2028172|CHEMBL:CHEMBL2028439|CHEMBL:CHEMBL218627|CHEMBL:CHEMBL2322189|CHEMBL:CHEMBL3183206|CHEMBL:CHEMBL3188549|CHEMBL:CHEMBL4064480|CHEMBL:CHEMBL4064834|CHEMBL:CHEMBL4116920|CHEMBL:CHEMBL4117800|DRUGBANK:DB00828|DRUGBANK:DB03754|HMDB:HMDB0014966|HMDB:HMDB0240288|MESH:D005578|MESH:D014325|PUBCHEM:10199068|PUBCHEM:446987|PUBCHEM:6503|PUBCHEM:93095
63	PROPIONIC ACID	CAS:137-40-6|CAS:4075-81-4|CAS:79-09-4|CHEBI:CHEBI:132106|CHEBI:CHEBI:30768|CHEBI:CHEBI:81716|CHEMBL:CHEMBL14021|CHEMBL:CHEMBL3186661|CHEMBL:CHEMBL3989705|CHEMBL:CHEMBL500826|DRUGBANK:DB03766|HMDB:HMDB0000237|PUBCHEM:1032|PUBCHEM:2723816|PUBCHEM:2734981
64	N,N'-dimethylguanidine hydroiodide	CHEMBL:CHEMBL1193979|CHEMBL:CHEMBL545471
74	DECAMETHONIUM	CAS:156-74-1|CHEBI:CHEBI:41934|CHEMBL:CHEMBL1134|CHEMBL:CHEMBL1190|DRUGBANK:DB01245|HMDB:HMDB0015375|HMS-LINCS:11456|PUBCHEM:2968
77	SUCCIMER	CAS:304-55-2|CHEBI:CHEBI:63623|CHEMBL:CHEMBL1201073|CHEMBL:CHEMBL1444997|CHEMBL:CHEMBL1456747|CHEMBL:CHEMBL1684992|CHEMBL:CHEMBL1991929|CHEMBL:CHEMBL28721|DRUGBANK:DB00566|MESH:D004113|PUBCHEM:2724354
79	BENZIDINE	CAS:92-87-5|CHEBI:CHEBI:80495|CHEMBL:CHEMBL15901|CHEMBL:CHEMBL3184470|HMDB:HMDB0041835|PUBCHEM:7111
81	ZIRAM	CAS:137-30-4|CAS:79-45-8|CHEBI:CHEBI:79736|CHEBI:CHEBI:83061|CHEMBL:CHEMBL1208358|CHEMBL:CHEMBL1519327|CHEMBL:CHEMBL3185962|CHEMBL:CHEMBL569460|PUBCHEM:3485262|PUBCHEM:6599
88	HEXAMETHONIUM	CAS:60-26-4|CHEBI:CHEBI:5700|CHEMBL:CHEMBL100622|CHEMBL:CHEMBL105608|CHEMBL:CHEMBL121721|CHEMBL:CHEMBL1405927|CHEMBL:CHEMBL2106279|CHEMBL:CHEMBL2146097|CHEMBL:CHEMBL3229240|CHEMBL:CHEMBL332524|DRUGBANK:DB08960|HMS-LINCS:11457|MESH:D018738|PUBCHEM:3604
90	oxolane-2,5-dione	CAS:108-30-5|CHEBI:CHEBI:36595|CHEMBL:CHEMBL1370164|CHEMBL:CHEMBL310010|HMDB:HMDB0032523|PUBCHEM:7922
92	TRIENTINE	CAS:112-24-3|CAS:38260-01-4|CHEBI:CHEBI:39501|CHEBI:CHEBI:9706|CHEMBL:CHEMBL1200783|CHEMBL:CHEMBL3989777|CHEMBL:CHEMBL609|DRUGBANK:DB06824|MESH:D014266|PUBCHEM:5565|PUBCHEM:71433
100	PHENOL	CAS:108-95-2|CAS:139-02-6|CHEBI:CHEBI:15882|CHEBI:CHEBI:52476|CHEMBL:CHEMBL14060|CHEMBL:CHEMBL2107497|DRUGBANK:DB03255|HMDB:HMDB0000228|MESH:D019800|PUBCHEM:4445035|PUBCHEM:996
103	2-Aminoimidazole	CHEMBL:CHEMBL2392115|CHEMBL:CHEMBL291627
112	PIPERAZINECARBAMODITHIOATE DISODIUM SALT	CHEMBL:CHEMBL2023728|CHEMBL:CHEMBL2027832
113	CAPTAMINE	CHEMBL:CHEMBL1395579|CHEMBL:CHEMBL2107613
115	CHOLINE	CAS:2016-36-6|CAS:317-34-0|CAS:58-55-9|CAS:62-49-7|CAS:67-48-1|CAS:87591-54-6|CHEBI:CHEBI:133341|CHEBI:CHEBI:15354|CHEBI:CHEBI:2659|CHEBI:CHEBI:28177|CHEBI:CHEBI:3668|CHEBI:CHEBI:72321|CHEMBL:CHEMBL1200434|CHEMBL:CHEMBL1200578|CHEMBL:CHEMBL1208646|CHEMBL:CHEMBL1237184|CHEMBL:CHEMBL1256479|CHEMBL:CHEMBL1355736|CHEMBL:CHEMBL1370561|CHEMBL:CHEMBL190|CHEMBL:CHEMBL2095207|CHEMBL:CHEMBL2104089|CHEMBL:CHEMBL2104095|CHEMBL:CHEMBL2104477|CHEMBL:CHEMBL2105935|CHEMBL:CHEMBL2107084|CHEMBL:CHEMBL282468|CHEMBL:CHEMBL293410|CHEMBL:CHEMBL3187547|CHEMBL:CHEMBL3187839|CHEMBL:CHEMBL3989648|CHEMBL:CHEMBL40017|CHEMBL:CHEMBL920|DRUGBANK:DB00122|DRUGBANK:DB00277|DRUGBANK:DB01223|DRUGBANK:DB01303|DRUGBANK:DB09277|DRUGBANK:DB13812|DRUGBANK:DB14006|HMDB:HMDB0000097|HMDB:HMDB0001889|HMS-LINCS:11597|MESH:D000628|MESH:D002794|MESH:D013806|PUBCHEM:14989482|PUBCHEM:2153|PUBCHEM:305|PUBCHEM:54686350|PUBCHEM:6209|PUBCHEM:9433
116	N-cyclohexylcyclohexanamine	CAS:101-83-7|CHEBI:CHEBI:34694|CHEMBL:CHEMBL1451838|CHEMBL:CHEMBL1688230|CHEMBL:CHEMBL1739997|CHEMBL:CHEMBL1744311|CHEMBL:CHEMBL1744328|CHEMBL:CHEMBL1744329|CHEMBL:CHEMBL1744333|CHEMBL:CHEMBL1744336|CHEMBL:CHEMBL1744337|CHEMBL:CHEMBL174601|CHEMBL:CHEMBL1788149|CHEMBL:CHEMBL1788150|CHEMBL:CHEMBL1788151|CHEMBL:CHEMBL1907938|CHEMBL:CHEMBL1982892|CHEMBL:CHEMBL2009176|CHEMBL:CHEMBL22814|CHEMBL:CHEMBL23059|CHEMBL:CHEMBL23351|CHEMBL:CHEMBL23523|CHEMBL:CHEMBL23527|CHEMBL:CHEMBL23697|CHEMBL:CHEMBL23849|CHEMBL:CHEMBL278600|CHEMBL:CHEMBL3244551|CHEMBL:CHEMBL3244552|CHEMBL:CHEMBL3244560|CHEMBL:CHEMBL3276500|CHEMBL:CHEMBL3276502|CHEMBL:CHEMBL3546288|CHEMBL:CHEMBL3546301|CHEMBL:CHEMBL3546302|CHEMBL:CHEMBL611148|CHEMBL:CHEMBL611149|CHEMBL:CHEMBL75752|PUBCHEM:7582
118	MECHLORETHAMINE	CAS:51-75-2|CHEBI:CHEBI:28925|CHEMBL:CHEMBL1201001|DRUGBANK:DB00888|HMDB:HMDB0015025|MESH:D008466|PUBCHEM:4033
119	CHLORMEQUAT CHLORIDE	CAS:7003-89-6|CAS:999-81-5|CHEBI:CHEBI:137392|CHEBI:CHEBI:81850|CHEMBL:CHEMBL118539|CHEMBL:CHEMBL341956|MESH:D002716|PUBCHEM:13836|PUBCHEM:13837
128	DIAMIDE	CAS:10465-78-8|CHEBI:CHEBI:48958|CHEBI:CHEBI:48963|CHEBI:CHEBI:48964|CHEMBL:CHEMBL1255835|CHEMBL:CHEMBL1338900|CHEMBL:CHEMBL1359513|HMS-LINCS:10607|MESH:D003958|PUBCHEM:5353800|PUBCHEM:6603816
130	ALANINE	CAS:302-72-7|CAS:338-69-2|CAS:56-41-7|CHEBI:CHEBI:15570|CHEBI:CHEBI:16449|CHEBI:CHEBI:16977|CHEMBL:CHEMBL12198|CHEMBL:CHEMBL279597|CHEMBL:CHEMBL66693|DRUGBANK:DB00160|DRUGBANK:DB01786|HMDB:HMDB0000161|HMDB:HMDB0001310|HMDB:HMDB0062251|MESH:D000409|PUBCHEM:57383916|PUBCHEM:5950|PUBCHEM:71080
134	NITRILOTRIACETIC ACID	CAS:139-13-9|CHEBI:CHEBI:44557|CHEMBL:CHEMBL1234848|CHEMBL:CHEMBL1905907|DRUGBANK:DB03040|PUBCHEM:8758
137	RESORCINOL	CAS:108-46-3|CHEBI:CHEBI:27810|CHEMBL:CHEMBL24147|DRUGBANK:DB11085|HMDB:HMDB0032037|HMS-LINCS:11920|PUBCHEM:5054
153	SODIUM BUTYRATE	CAS:107-92-6|CAS:156-54-7|CHEBI:CHEBI:30772|CHEBI:CHEBI:64103|CHEMBL:CHEMBL14227|CHEMBL:CHEMBL3890404|CHEMBL:CHEMBL62381|DRUGBANK:DB03568|HMDB:HMDB0000039|HMS-LINCS:10945|PUBCHEM:264|PUBCHEM:5222465
154	OCTADECYLAMINE	CAS:124-30-1|CHEBI:CHEBI:63866|CHEMBL:CHEMBL114402|CHEMBL:CHEMBL331817|CHEMBL:CHEMBL55860|HMDB:HMDB0029586|PUBCHEM:15793
158	AMANTADINE	CAS:665-66-7|CHEBI:CHEBI:2618|CHEMBL:CHEMBL1255870|CHEMBL:CHEMBL1445834|CHEMBL:CHEMBL1569|CHEMBL:CHEMBL19601|CHEMBL:CHEMBL465617|DRUGBANK:DB00915|HMDB:HMDB0015051|HMS-LINCS:11694|MESH:D000547|PUBCHEM:2130
165	4-AMINOPHENOL	CAS:123-30-8|CHEBI:CHEBI:17602|CHEMBL:CHEMBL1142|CHEMBL:CHEMBL388353|DRUGBANK:DB14144|HMDB:HMDB0001169|PUBCHEM:403
173	4-CHLOROANILINE	CAS:106-47-8|CHEBI:CHEBI:20331|CHEMBL:CHEMBL15888|CHEMBL:CHEMBL3188137|PUBCHEM:7812
191	2-methylcyclopentane-1,3-dione	CHEMBL:CHEMBL1829795|CHEMBL:CHEMBL363186
195	DODECYLAMINE	CHEMBL:CHEMBL109904|CHEMBL:CHEMBL113050
200	SPERMINE	CAS:71-44-3|CHEBI:CHEBI:15746|CHEMBL:CHEMBL1256357|CHEMBL:CHEMBL1556584|CHEMBL:CHEMBL23194|DRUGBANK:DB00127|HMDB:HMDB0001256|HMS-LINCS:10598|MESH:D013096|PUBCHEM:1103
204	N-(2-{[Amino(Imino)Methyl]Amino}Ethyl)Guanidine Dihydrobromide	CHEMBL:CHEMBL1189742|CHEMBL:CHEMBL1449058|CHEMBL:CHEMBL539343
209	Allyl-Trimethyl-Ammonium	CHEMBL:CHEMBL135503|CHEMBL:CHEMBL356328
212	CROTONIC ACID	CAS:107-93-7|CHEBI:CHEBI:17217|CHEBI:CHEBI:41131|CHEMBL:CHEMBL1213528|CHEMBL:CHEMBL3185203|DRUGBANK:DB02074|HMDB:HMDB0010720|PUBCHEM:637090
215	2-{[Amino(Imino)Methyl]Thio}Ethyl Imidothiocarbamate Dihydrobromide	CHEMBL:CHEMBL1187946|CHEMBL:CHEMBL534494
216	PYRROLIDINE DITHIOCARBAMATE	CAS:25769-03-3|CHEBI:CHEBI:78782|CHEMBL:CHEMBL1449651|CHEMBL:CHEMBL2021946|CHEMBL:CHEMBL399491|PUBCHEM:65351
219	P-Tolylamine	CAS:106-49-0|CHEBI:CHEBI:37825|CHEMBL:CHEMBL3183830|CHEMBL:CHEMBL58521|PUBCHEM:7813
222	2,3-Butanedione Monoxime	CAS:57-71-6|CHEBI:CHEBI:4480|CHEMBL:CHEMBL1255578|CHEMBL:CHEMBL335741|PUBCHEM:6409633
224	TETRADECYLAMINE	CHEBI:CHEBI:165595|CHEMBL:CHEMBL110011|CHEMBL:CHEMBL110310|CHEMBL:CHEMBL325871|PUBCHEM:16217
228	p-CRESOL	CAS:106-44-5|CHEBI:CHEBI:17847|CHEMBL:CHEMBL1410808|CHEMBL:CHEMBL16645|DRUGBANK:DB01688|HMDB:HMDB0001858|PUBCHEM:2879
241	4-[2-(4-aminophenyl)diazen-1-yl]aniline	CAS:538-41-0|CHEBI:CHEBI:53616|CHEMBL:CHEMBL1337483|CHEMBL:CHEMBL3186630|PUBCHEM:10855
249	3-METHYLBUTANOIC ACID	CAS:503-74-2|CHEBI:CHEBI:28484|CHEMBL:CHEMBL1762642|CHEMBL:CHEMBL568737|DRUGBANK:DB03750|HMDB:HMDB0000718|PUBCHEM:10430
250	1,3-Bis(Pyridinium)-Propane Dibromide	CHEMBL:CHEMBL1088017|CHEMBL:CHEMBL1198978|CHEMBL:CHEMBL1789987
252	BENZOIC ACID	CAS:532-32-1|CAS:65-85-0|CHEBI:CHEBI:113455|CHEBI:CHEBI:30746|CHEMBL:CHEMBL1356|CHEMBL:CHEMBL2001454|CHEMBL:CHEMBL2105241|CHEMBL:CHEMBL2105970|CHEMBL:CHEMBL3561058|CHEMBL:CHEMBL541|DRUGBANK:DB03793|HMDB:HMDB0001870|PUBCHEM:243|PUBCHEM:517055
258	PHENYLHYDRAZINE	CAS:100-63-0|CAS:59-88-1|CHEBI:CHEBI:136540|CHEBI:CHEBI:27924|CHEMBL:CHEMBL3182475|CHEMBL:CHEMBL456807|PUBCHEM:60962|PUBCHEM:7516
260	EDETIC ACID	CAS:139-33-3|CAS:150-43-6|CAS:62-33-9|CAS:6381-92-6|CHEBI:CHEBI:42191|CHEBI:CHEBI:4757|CHEBI:CHEBI:63125|CHEBI:CHEBI:64734|CHEBI:CHEBI:64758|CHEMBL:CHEMBL1200375|CHEMBL:CHEMBL1749|CHEMBL:CHEMBL1871697|CHEMBL:CHEMBL2028177|CHEMBL:CHEMBL2104344|CHEMBL:CHEMBL2106963|CHEMBL:CHEMBL2219741|CHEMBL:CHEMBL3989507|CHEMBL:CHEMBL3989522|CHEMBL:CHEMBL858|DRUGBANK:DB00974|DRUGBANK:DB13404|DRUGBANK:DB14598|DRUGBANK:DB14600|HMDB:HMDB0015109|PUBCHEM:57339238|PUBCHEM:57339259|PUBCHEM:6049|PUBCHEM:6093170|PUBCHEM:9008
263	1,4-Bis(Pyridinium)-Butane Dibromide	CHEMBL:CHEMBL1088018|CHEMBL:CHEMBL1198979
265	PHTHALIC ACID	CAS:88-99-3|CHEBI:CHEBI:29069|CHEMBL:CHEMBL1045|CHEMBL:CHEMBL3187152|DRUGBANK:DB02746|HMDB:HMDB0002107|PUBCHEM:1017
269	MESNA	CAS:19767-45-4|CAS:3375-50-6|CHEBI:CHEBI:17905|CHEBI:CHEBI:31824|CHEMBL:CHEMBL1098319|CHEMBL:CHEMBL2219745|CHEMBL:CHEMBL61040|CHEMBL:CHEMBL975|DRUGBANK:DB09110|HMDB:HMDB0003745|HMS-LINCS:11839|PUBCHEM:23662354|PUBCHEM:598
300	DAB	CAS:91-95-2|CHEBI:CHEBI:90994|CHEMBL:CHEMBL1396955|CHEMBL:CHEMBL3189086|MESH:D015100|PUBCHEM:7071
307	Tris(2-Carboxyethyl)Phosphine HCl	CAS:5961-85-3|CHEBI:CHEBI:63213|CHEMBL:CHEMBL171512|CHEMBL:CHEMBL2047686|PUBCHEM:119411
313	BENZYLAMINE	CAS:100-46-9|CHEBI:CHEBI:40538|CHEMBL:CHEMBL14186|CHEMBL:CHEMBL1707678|CHEMBL:CHEMBL522|DRUGBANK:DB02464|HMDB:HMDB0033871|PUBCHEM:7504
314	PHENYLBORONIC ACID	CAS:98-80-6|CHEBI:CHEBI:44923|CHEMBL:CHEMBL21485|CHEMBL:CHEMBL2207070|DRUGBANK:DB01795|PUBCHEM:66827
315	ALLOXAN	CAS:50-71-5|CHEBI:CHEBI:76451|CHEMBL:CHEMBL1096009|CHEMBL:CHEMBL3185100|HMDB:HMDB0002818|MESH:D000496|PUBCHEM:5781
316	SPERMIDINE	CAS:124-20-9|CHEBI:CHEBI:16610|CHEMBL:CHEMBL1256356|CHEMBL:CHEMBL1473196|CHEMBL:CHEMBL19612|DRUGBANK:DB03566|HMDB:HMDB0001257|MESH:D013095|PUBCHEM:1102
322	NAPHTHOQUINONE	CAS:130-15-4|CHEBI:CHEBI:27418|CHEMBL:CHEMBL164350|CHEMBL:CHEMBL55934|PUBCHEM:8530
326	PENTETIC ACID	CAS:67-43-6|CHEBI:CHEBI:35739|CHEMBL:CHEMBL1200424|CHEMBL:CHEMBL1200945|CHEMBL:CHEMBL780|DRUGBANK:DB14007|MESH:D004369|PUBCHEM:3053
328	CETRIMONIUM	CAS:112-02-7|CAS:57-09-0|CAS:6899-10-1|CHEBI:CHEBI:3567|CHEBI:CHEBI:39561|CHEBI:CHEBI:53581|CHEMBL:CHEMBL1183605|CHEMBL:CHEMBL1600855|CHEMBL:CHEMBL1895807|CHEMBL:CHEMBL2287054|CHEMBL:CHEMBL307346|DRUGBANK:DB01718|MESH:D000077286|PUBCHEM:2681|PUBCHEM:8154
330	O-TOLYLAMINE	CAS:95-53-4|CHEBI:CHEBI:66892|CHEMBL:CHEMBL1381|CHEMBL:CHEMBL1579403|HMDB:HMDB0041965|PUBCHEM:7242
332	1,8-Bis(Pyridinium)Octane Dibromide	CHEMBL:CHEMBL105106|CHEMBL:CHEMBL1179933|CHEMBL:CHEMBL225688
334	1,7-Bis(Pyridinium)-Heptane Dibromide	CHEMBL:CHEMBL1088155|CHEMBL:CHEMBL1198983
338	THIOBARBITURIC	CAS:504-17-6|CHEBI:CHEBI:33202|CHEMBL:CHEMBL1650611|CHEMBL:CHEMBL584805|PUBCHEM:2723628
340	1,10-Bis(Pyridinium)Decane Dibromide	CHEMBL:CHEMBL105794|CHEMBL:CHEMBL1179955|CHEMBL:CHEMBL225689
343	BENZAMIDINE	CAS:618-39-3|CHEBI:CHEBI:41033|CHEMBL:CHEMBL1528282|CHEMBL:CHEMBL20936|CHEMBL:CHEMBL537204|DRUGBANK:DB03127|PUBCHEM:2332
346	CETRIMIDE	CAS:8044-71-1|CHEBI:CHEBI:3565|CHEMBL:CHEMBL109747|CHEMBL:CHEMBL113150|CHEMBL:CHEMBL1180003|CHEMBL:CHEMBL325636|PUBCHEM:14250
